# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=970.078
# build=Aug  3 2026 01:07:40
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3480,969.940,33.25,1.189,0.974,0.00,1,0
3505,969.910,33.30,1.448,1.134,0.12,1,0
3530,969.930,33.34,1.276,1.174,0.19,1,0
3555,969.940,33.39,1.189,1.181,0.20,1,0
3580,970.010,33.43,0.587,1.057,-0.30,1,0
3605,969.980,33.46,0.846,1.007,-0.49,1,0
3630,970.010,33.49,0.587,0.910,-0.89,1,0
3655,969.980,33.52,0.846,0.879,-0.93,1,0
3680,969.960,33.55,1.017,0.890,-0.77,1,0
3705,970.010,33.57,0.587,0.810,-1.05,1,0
3730,970.010,33.59,0.587,0.743,-1.23,1,0
3755,970.000,33.61,0.674,0.704,-1.27,1,0
3780,970.010,33.63,0.587,0.655,-1.34,1,0
3805,970.000,33.65,0.674,0.632,-1.30,1,0
3830,970.050,33.66,0.240,0.530,-1.55,1,0
3855,970.070,33.68,0.069,0.413,-1.82,1,0
3880,970.000,33.68,0.674,0.423,-1.64,1,0
3905,970.040,33.70,0.328,0.372,-1.67,1,0
3930,970.040,33.71,0.328,0.330,-1.67,1,0
3955,970.050,33.72,0.240,0.280,-1.69,1,0
3980,970.050,33.73,0.240,0.239,-1.69,1,0
4005,970.050,33.74,0.240,0.203,-1.67,1,0
4030,970.050,33.74,0.240,0.173,-1.64,1,0
4055,970.050,33.75,0.240,0.148,-1.61,1,0
4080,970.060,33.75,0.156,0.114,-1.59,1,0
4105,970.040,33.76,0.328,0.109,-1.51,1,0
4130,970.030,33.77,0.415,0.116,-1.42,1,0
4155,970.050,33.77,0.240,0.101,-1.37,1,0
4180,970.040,33.77,0.328,0.099,-1.31,1,0
4205,970.040,33.78,0.328,0.098,-1.25,1,0
4230,970.030,33.78,0.415,0.107,-1.17,1,0
4255,970.030,33.79,0.415,0.116,-1.10,1,0
4280,970.070,33.79,0.069,0.086,-1.10,1,0
4305,970.070,33.79,0.069,0.060,-1.10,1,0
4330,970.060,33.80,0.156,0.045,-1.08,1,0
4355,970.050,33.80,0.240,0.041,-1.04,1,0
4380,970.040,33.80,0.328,0.050,-0.99,1,0
4405,970.040,33.80,0.328,0.071,-0.91,1,0
4430,970.040,33.80,0.328,0.110,-0.82,1,0
4455,970.010,33.81,0.587,0.273,-0.55,1,0
4480,970.050,33.81,0.240,0.250,-0.56,1,0
4505,970.040,33.81,0.328,0.283,-0.49,1,0
4530,970.040,33.81,0.328,0.301,-0.45,1,0
4555,970.040,33.82,0.328,0.309,-0.42,1,0
4580,970.020,33.82,0.499,0.406,-0.22,1,0
4605,970.040,33.82,0.328,0.364,-0.30,1,0
4630,970.090,33.82,-0.103,0.188,-0.80,1,0
4655,970.040,33.82,0.328,0.217,-0.62,1,0
4680,970.050,33.82,0.240,0.212,-0.57,1,0
4705,970.070,33.83,0.069,0.165,-0.73,1,0
