# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=969.617
# build=Aug  3 2026 00:15:55
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3435,969.560,37.14,0.497,0.238,0.00,0,0
3460,969.640,37.19,-0.196,0.092,-0.11,0,0
3485,969.610,37.24,0.066,0.083,-0.12,0,0
3510,969.590,37.28,0.238,0.116,-0.02,0,0
3535,969.610,37.32,0.066,0.105,-0.06,0,0
3560,969.580,37.35,0.322,0.149,0.15,0,0
3585,969.600,37.38,0.151,0.153,0.14,0,0
3610,969.640,37.41,-0.196,0.082,-0.21,0,0
3635,969.640,37.44,-0.196,0.019,-0.49,0,0
3660,969.650,37.46,-0.280,-0.053,-0.77,0,0
3685,969.660,37.49,-0.367,-0.134,-1.04,0,0
3710,969.670,37.50,-0.452,-0.221,-1.30,0,0
3735,969.670,37.52,-0.452,-0.293,-1.46,0,0
3760,969.670,37.54,-0.452,-0.354,-1.55,0,0
3785,969.590,37.55,0.238,-0.272,-1.11,0,0
3810,969.640,37.57,-0.196,-0.280,-1.05,0,0
3835,969.680,37.58,-0.539,-0.348,-1.19,0,0
3860,969.690,37.59,-0.626,-0.421,-1.32,0,0
3885,969.710,37.60,-0.798,-0.513,-1.50,0,0
3910,969.660,37.61,-0.367,-0.520,-1.41,0,0
3935,969.660,37.62,-0.367,-0.526,-1.33,0,0
3960,969.690,37.63,-0.626,-0.569,-1.36,0,0
3985,969.660,37.64,-0.367,-0.568,-1.27,0,0
4010,969.680,37.65,-0.539,-0.591,-1.25,0,0
4035,969.670,37.65,-0.452,-0.598,-1.19,0,0
4060,969.680,37.66,-0.539,-0.616,-1.16,0,0
4085,969.680,37.66,-0.539,-0.631,-1.13,0,0
4110,969.660,37.67,-0.367,-0.622,-1.06,0,0
4135,969.700,37.67,-0.711,-0.656,-1.07,0,0
4160,969.690,37.68,-0.626,-0.676,-1.06,0,0
4185,969.730,37.68,-0.970,-0.734,-1.12,0,0
4210,969.660,37.69,-0.367,-0.717,-1.04,0,0
4235,969.680,37.69,-0.539,-0.720,-0.99,0,0
4260,969.680,37.69,-0.539,-0.723,-0.96,0,0
4285,969.700,37.70,-0.711,-0.743,-0.95,0,0
4310,969.710,37.70,-0.798,-0.770,-0.96,0,0
4335,969.680,37.70,-0.539,-0.768,-0.91,0,0
4360,969.660,37.71,-0.367,-0.750,-0.85,0,0
4385,969.700,37.71,-0.711,-0.765,-0.84,0,0
4410,969.680,37.71,-0.539,-0.763,-0.81,0,0
4435,969.680,37.72,-0.539,-0.761,-0.77,0,0
4460,969.700,37.72,-0.711,-0.773,-0.76,0,0
4485,969.660,37.72,-0.367,-0.737,-0.69,0,0
4510,969.680,37.72,-0.539,-0.713,-0.63,0,0
4535,969.700,37.72,-0.711,-0.725,-0.63,0,0
4560,969.670,37.72,-0.452,-0.647,-0.51,0,0
4585,969.690,37.73,-0.626,-0.647,-0.49,0,0
4610,969.680,37.73,-0.539,-0.610,-0.43,0,0
4635,969.700,37.73,-0.711,-0.656,-0.47,0,0
4660,969.710,37.73,-0.798,-0.709,-0.53,0,0
4685,969.690,37.73,-0.626,-0.695,-0.49,0,0
4710,969.680,37.74,-0.539,-0.661,-0.42,0,0
4735,969.690,37.74,-0.626,-0.660,-0.40,0,0
4760,969.700,37.74,-0.711,-0.679,-0.42,0,0
4785,969.700,37.74,-0.711,-0.694,-0.43,0,0
4810,969.700,37.74,-0.711,-0.706,-0.43,0,0
4835,969.690,37.74,-0.626,-0.702,-0.40,0,0
4860,969.680,37.74,-0.539,-0.685,-0.34,0,0
4885,969.700,37.75,-0.711,-0.696,-0.35,0,0
4910,969.680,37.74,-0.539,-0.682,-0.30,0,0
4935,969.750,37.75,-1.144,-0.751,-0.44,0,0
4960,969.680,37.75,-0.539,-0.732,-0.37,0,0
4985,969.680,37.75,-0.539,-0.716,-0.31,0,0
5010,969.740,37.75,-1.057,-0.765,-0.41,0,0
5035,969.670,37.75,-0.452,-0.736,-0.32,0,0
5060,969.680,37.75,-0.539,-0.719,-0.26,0,0
5085,969.690,37.75,-0.626,-0.713,-0.23,0,0
5110,969.670,37.76,-0.452,-0.688,-0.17,0,0
5135,969.730,37.76,-0.970,-0.724,-0.23,0,0
5160,969.680,37.76,-0.539,-0.708,-0.19,0,0
5185,969.710,37.76,-0.798,-0.723,-0.21,0,0
5210,969.670,37.76,-0.452,-0.697,-0.15,0,0
5235,969.680,37.76,-0.539,-0.683,-0.11,0,0
5260,969.680,37.76,-0.539,-0.670,-0.08,0,0
5285,969.680,37.76,-0.539,-0.658,-0.06,0,0
5310,969.690,37.76,-0.626,-0.656,-0.05,0,0
5335,969.720,37.77,-0.883,-0.681,-0.09,0,0
5360,969.720,37.77,-0.883,-0.703,-0.13,0,0
5385,969.710,37.77,-0.798,-0.716,-0.14,0,0
5410,969.730,37.77,-0.970,-0.744,-0.18,0,0
5435,969.700,37.77,-0.711,-0.745,-0.18,0,0
5460,969.690,37.77,-0.626,-0.738,-0.16,0,0
5485,969.690,37.77,-0.626,-0.731,-0.14,0,0
5510,969.720,37.77,-0.883,-0.748,-0.16,0,0
5535,969.720,37.77,-0.883,-0.764,-0.18,0,0
5560,969.700,37.77,-0.711,-0.763,-0.17,0,0
5585,969.630,37.77,-0.108,-0.710,-0.09,0,0
5610,969.700,37.77,-0.711,-0.713,-0.09,0,0
5635,969.710,37.78,-0.798,-0.722,-0.10,0,0
5660,969.720,37.78,-0.883,-0.737,-0.12,0,0
5685,969.690,37.78,-0.626,-0.731,-0.11,0,0
5710,969.700,37.78,-0.711,-0.732,-0.10,0,0
5735,969.710,37.78,-0.798,-0.739,-0.11,0,0
5760,969.680,37.78,-0.539,-0.727,-0.09,0,0
5785,969.700,37.78,-0.711,-0.727,-0.09,0,0
5810,969.680,37.78,-0.539,-0.716,-0.07,0,0
5835,969.660,37.78,-0.367,-0.692,-0.04,0,0
5860,969.690,37.78,-0.626,-0.688,-0.04,0,0
5885,969.680,37.78,-0.539,-0.678,-0.02,0,0
5910,969.720,37.78,-0.883,-0.693,-0.04,0,0
5935,969.690,37.78,-0.626,-0.689,-0.03,0,0
5960,969.680,37.78,-0.539,-0.680,-0.02,0,0
5985,969.710,37.79,-0.798,-0.688,-0.03,0,0
