# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=969.617
# build=Aug  2 2026 23:49:12
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3404,969.660,37.77,-0.367,-0.324,-0.00,0,0
3429,969.600,37.82,0.151,-0.164,0.12,0,0
3454,969.560,37.87,0.497,0.013,0.44,0,0
3479,969.660,37.91,-0.367,-0.066,0.17,0,0
3504,969.610,37.95,0.066,-0.034,0.28,0,0
3529,969.660,37.98,-0.367,-0.098,-0.04,0,0
3554,969.640,38.01,-0.196,-0.119,-0.13,0,0
3579,969.650,38.04,-0.280,-0.156,-0.29,0,0
3604,969.630,38.07,-0.108,-0.151,-0.24,0,0
3629,969.650,38.09,-0.280,-0.183,-0.36,0,0
3654,969.690,38.11,-0.626,-0.283,-0.76,0,0
3679,969.630,38.13,-0.108,-0.262,-0.59,0,0
3704,969.680,38.15,-0.539,-0.330,-0.81,0,0
3729,969.680,38.17,-0.539,-0.388,-0.95,0,0
3754,969.630,38.18,-0.108,-0.353,-0.74,0,0
3779,969.700,38.19,-0.711,-0.435,-0.96,0,0
3804,969.690,38.21,-0.626,-0.489,-1.06,0,0
3829,969.710,38.22,-0.798,-0.565,-1.21,0,0
3854,969.690,38.23,-0.626,-0.601,-1.23,0,0
3879,969.690,38.24,-0.626,-0.630,-1.23,0,0
3904,969.700,38.25,-0.711,-0.669,-1.25,0,0
3929,969.680,38.26,-0.539,-0.675,-1.18,0,0
3954,969.710,38.26,-0.798,-0.719,-1.22,0,0
3979,969.680,38.27,-0.539,-0.719,-1.14,0,0
4004,969.710,38.28,-0.798,-0.755,-1.16,0,0
4029,969.710,38.28,-0.798,-0.786,-1.16,0,0
4054,969.670,38.29,-0.452,-0.767,-1.06,0,0
4079,969.690,38.29,-0.626,-0.772,-1.02,0,0
4104,969.670,38.30,-0.452,-0.755,-0.93,0,0
4129,969.730,38.30,-0.970,-0.801,-0.98,0,0
4154,969.710,38.30,-0.798,-0.822,-0.97,0,0
4179,969.680,38.31,-0.539,-0.812,-0.91,0,0
4204,969.690,38.31,-0.626,-0.811,-0.86,0,0
4229,969.700,38.31,-0.711,-0.820,-0.84,0,0
4254,969.700,38.32,-0.711,-0.827,-0.82,0,0
4279,969.700,38.32,-0.711,-0.834,-0.80,0,0
