# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=969.617
# build=Aug  3 2026 00:03:27
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3418,969.590,35.76,0.238,0.280,-0.00,1,0
3443,969.570,35.81,0.410,0.324,0.03,1,0
3468,969.600,35.86,0.151,0.279,-0.05,1,0
3493,969.600,35.90,0.151,0.248,-0.14,1,0
3518,969.600,35.94,0.151,0.225,-0.21,1,0
3543,969.610,35.97,0.066,0.187,-0.36,1,0
3568,969.600,36.01,0.151,0.173,-0.38,1,0
3593,969.630,36.03,-0.108,0.106,-0.66,1,0
3618,969.620,36.06,-0.021,0.066,-0.77,1,0
3643,969.650,36.08,-0.280,-0.022,-1.09,1,0
3668,969.640,36.10,-0.196,-0.080,-1.23,1,0
3693,969.640,36.12,-0.196,-0.128,-1.30,1,0
3718,969.620,36.14,-0.021,-0.132,-1.19,1,0
3743,969.620,36.16,-0.021,-0.134,-1.08,1,0
3768,969.650,36.17,-0.280,-0.184,-1.16,1,0
3793,969.700,36.19,-0.711,-0.306,-1.48,1,0
3818,969.670,36.20,-0.452,-0.363,-1.55,1,0
3843,969.670,36.21,-0.452,-0.410,-1.58,1,0
3868,969.680,36.22,-0.539,-0.465,-1.62,1,0
3893,969.690,36.23,-0.626,-0.525,-1.68,1,0
3918,969.650,36.24,-0.280,-0.522,-1.55,0,0
3943,969.670,36.24,-0.452,-0.544,-1.51,0,0
3968,969.670,36.25,-0.452,-0.562,-1.46,0,0
3993,969.670,36.26,-0.452,-0.578,-1.41,0,0
4018,969.720,36.26,-0.883,-0.651,-1.50,0,0
4043,969.690,36.27,-0.626,-0.680,-1.48,0,0
4068,969.670,36.28,-0.452,-0.682,-1.40,0,0
4093,969.680,36.28,-0.539,-0.694,-1.36,0,0
4118,969.670,36.29,-0.452,-0.694,-1.29,0,0
4143,969.670,36.29,-0.452,-0.693,-1.22,0,0
4168,969.670,36.29,-0.452,-0.692,-1.16,0,0
4193,969.660,36.30,-0.367,-0.681,-1.09,0,0
4218,969.690,36.30,-0.626,-0.699,-1.07,0,0
4243,969.690,36.30,-0.626,-0.715,-1.05,0,0
4268,969.700,36.31,-0.711,-0.738,-1.05,0,0
4293,969.710,36.31,-0.798,-0.768,-1.05,0,0
4318,969.680,36.31,-0.539,-0.769,-1.01,0,0
4343,969.680,36.32,-0.539,-0.769,-0.98,0,0
4368,969.660,36.32,-0.367,-0.749,-0.91,0,0
4393,969.700,36.32,-0.711,-0.765,-0.90,0,0
4418,969.660,36.32,-0.367,-0.723,-0.80,0,0
4443,969.680,36.32,-0.539,-0.697,-0.74,0,0
4468,969.690,36.33,-0.626,-0.690,-0.70,0,0
4493,969.720,36.33,-0.883,-0.757,-0.77,0,0
4518,969.700,36.33,-0.711,-0.758,-0.75,0,0
4543,969.660,36.33,-0.367,-0.639,-0.56,0,0
4568,969.650,36.33,-0.280,-0.489,-0.34,0,0
4593,969.710,36.33,-0.798,-0.621,-0.51,0,0
4618,969.700,36.34,-0.711,-0.661,-0.55,0,0
4643,969.700,36.34,-0.711,-0.685,-0.57,0,0
4668,969.720,36.34,-0.883,-0.743,-0.64,0,0
4693,969.680,36.34,-0.539,-0.714,-0.56,0,0
4718,969.660,36.34,-0.367,-0.646,-0.40,0,0
4743,969.720,36.34,-0.883,-0.701,-0.49,0,0
4768,969.700,36.34,-0.711,-0.713,-0.49,0,0
4793,969.680,36.34,-0.539,-0.694,-0.42,0,0
4818,969.720,36.34,-0.883,-0.733,-0.49,0,0
4843,969.690,36.35,-0.626,-0.727,-0.44,0,0
4868,969.690,36.35,-0.626,-0.721,-0.40,0,0
4893,969.690,36.35,-0.626,-0.716,-0.36,0,0
4918,969.700,36.35,-0.711,-0.723,-0.36,0,0
4943,969.680,36.35,-0.539,-0.706,-0.29,0,0
4968,969.680,36.35,-0.539,-0.690,-0.23,0,0
4993,969.700,36.35,-0.711,-0.698,-0.24,0,0
5018,969.680,36.35,-0.539,-0.682,-0.19,0,0
5043,969.700,36.35,-0.711,-0.690,-0.20,0,0
5068,969.680,36.35,-0.539,-0.675,-0.15,0,0
5093,969.690,36.35,-0.626,-0.673,-0.14,0,0
5118,969.680,36.35,-0.539,-0.659,-0.10,0,0
5143,969.670,36.35,-0.452,-0.633,-0.04,0,0
5168,969.720,36.35,-0.883,-0.667,-0.11,0,0
5193,969.690,36.35,-0.626,-0.664,-0.09,0,0
5218,969.690,36.35,-0.626,-0.661,-0.08,0,0
5243,969.660,36.35,-0.367,-0.628,-0.02,0,0
5268,969.680,36.35,-0.539,-0.618,0.00,0,0
5293,969.690,36.35,-0.626,-0.619,0.00,0,0
5318,969.650,36.35,-0.280,-0.574,0.08,0,0
5343,969.670,36.36,-0.452,-0.554,0.12,0,0
5368,969.690,36.35,-0.626,-0.562,0.10,0,0
5393,969.700,36.36,-0.711,-0.580,0.06,0,0
5418,969.710,36.36,-0.798,-0.607,0.01,0,0
5443,969.680,36.36,-0.539,-0.599,0.03,0,0
5468,969.710,36.36,-0.798,-0.622,-0.01,0,0
5493,969.660,36.36,-0.367,-0.593,0.04,0,0
5518,969.670,36.36,-0.452,-0.577,0.06,0,0
5543,969.650,36.36,-0.280,-0.544,0.11,0,0
5568,969.690,36.36,-0.626,-0.550,0.09,0,0
5593,969.710,36.36,-0.798,-0.573,0.06,0,0
5618,969.720,36.36,-0.883,-0.601,0.01,0,0
5643,969.700,36.36,-0.711,-0.611,-0.00,0,0
5668,969.690,36.36,-0.626,-0.612,-0.00,0,0
5693,969.650,36.36,-0.280,-0.583,0.04,0,0
5718,969.670,36.36,-0.452,-0.571,0.05,0,0
5743,969.690,36.36,-0.626,-0.574,0.05,0,0
5768,969.690,36.36,-0.626,-0.577,0.04,0,0
5793,969.680,36.36,-0.539,-0.573,0.04,0,0
5818,969.730,36.36,-0.970,-0.604,0.00,0,0
5843,969.690,36.36,-0.626,-0.606,0.00,0,0
5868,969.680,36.36,-0.539,-0.600,0.01,0,0
5893,969.700,36.36,-0.711,-0.609,-0.00,0,0
5918,969.700,36.36,-0.711,-0.616,-0.01,0,0
5943,969.710,36.36,-0.798,-0.630,-0.03,0,0
5968,969.660,36.36,-0.367,-0.612,-0.00,0,0
5993,969.680,36.36,-0.539,-0.606,0.00,0,0
6018,969.720,36.37,-0.883,-0.626,-0.02,0,0
6043,969.650,36.36,-0.280,-0.602,0.01,0,0
6068,969.670,36.37,-0.452,-0.592,0.02,0,0
6093,969.710,36.37,-0.798,-0.605,0.00,0,0
6118,969.710,36.36,-0.798,-0.618,-0.01,0,0
6143,969.670,36.37,-0.452,-0.607,0.00,0,0
6168,969.680,36.37,-0.539,-0.603,0.01,0,0
6193,969.710,36.37,-0.798,-0.615,-0.01,0,0
6218,969.670,36.37,-0.452,-0.605,0.00,0,0
6243,969.690,36.37,-0.626,-0.606,0.00,0,0
6268,969.680,36.37,-0.539,-0.602,0.01,0,0
6293,969.680,36.37,-0.539,-0.598,0.01,0,0
6318,969.670,36.37,-0.452,-0.590,0.02,0,0
6343,969.690,36.37,-0.626,-0.591,0.02,0,0
6368,969.730,36.37,-0.970,-0.613,-0.00,0,0
6393,969.670,36.37,-0.452,-0.604,0.00,0,0
6418,969.700,36.37,-0.711,-0.610,-0.00,0,0
6443,969.690,36.37,-0.626,-0.611,-0.00,0,0
6468,969.730,36.37,-0.970,-0.630,-0.02,0,0
6493,969.720,36.37,-0.883,-0.644,-0.03,0,0
6518,969.680,36.37,-0.539,-0.639,-0.03,0,0
6543,969.720,36.37,-0.883,-0.653,-0.04,0,0
6568,969.670,36.37,-0.452,-0.643,-0.03,0,0
6593,969.690,36.37,-0.626,-0.643,-0.03,0,0
6618,969.710,36.37,-0.798,-0.651,-0.03,0,0
6643,969.680,36.37,-0.539,-0.647,-0.03,0,0
6668,969.660,36.37,-0.367,-0.633,-0.02,0,0
6693,969.690,36.37,-0.626,-0.634,-0.02,0,0
6718,969.660,36.38,-0.367,-0.621,-0.01,0,0
6743,969.690,36.38,-0.626,-0.622,-0.01,0,0
6768,969.690,36.38,-0.626,-0.622,-0.01,0,0
6793,969.730,36.38,-0.970,-0.638,-0.02,0,0
6818,969.680,36.38,-0.539,-0.634,-0.02,0,0
6843,969.690,36.38,-0.626,-0.634,-0.02,0,0
