# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=969.617
# build=Aug  3 2026 00:15:55
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3360,969.580,37.00,0.322,0.366,-0.00,1,0
3385,969.580,37.06,0.322,0.351,-0.01,1,0
3410,969.600,37.10,0.151,0.298,-0.11,1,0
3435,969.590,37.14,0.238,0.282,-0.15,1,0
3460,969.580,37.18,0.322,0.288,-0.11,1,0
3485,969.610,37.22,0.066,0.239,-0.31,1,0
3510,969.610,37.25,0.066,0.197,-0.48,1,0
3535,969.620,37.28,-0.021,0.142,-0.69,1,0
3560,969.650,37.31,-0.280,0.039,-1.10,1,0
3585,969.700,37.33,-0.711,-0.177,-1.97,1,0
3610,969.670,37.36,-0.452,-0.302,-2.31,1,0
3635,969.700,37.38,-0.711,-0.516,-2.99,1,0
3660,969.690,37.40,-0.626,-0.609,-3.06,1,0
3685,969.690,37.41,-0.626,-0.656,-2.94,1,0
3710,969.690,37.43,-0.626,-0.685,-2.74,1,0
3735,969.720,37.44,-0.883,-0.807,-2.99,1,0
3760,969.640,37.45,-0.196,-0.646,-1.84,1,0
3785,969.670,37.46,-0.452,-0.618,-1.48,1,0
3810,969.610,37.47,0.066,-0.452,-0.46,1,0
3835,969.630,37.48,-0.108,-0.369,-0.00,1,0
3860,969.630,37.49,-0.108,-0.303,0.31,0,0
3885,969.660,37.50,-0.367,-0.313,0.23,0,0
3910,969.630,37.51,-0.108,-0.261,0.43,0,0
3935,969.670,37.51,-0.452,-0.295,0.25,0,0
3960,969.680,37.52,-0.539,-0.343,0.03,0,0
3985,969.660,37.52,-0.367,-0.347,0.01,0,0
4010,969.640,37.53,-0.196,-0.317,0.12,0,0
4035,969.670,37.54,-0.452,-0.340,0.03,0,0
4060,969.670,37.54,-0.452,-0.360,-0.04,0,0
4085,969.670,37.54,-0.452,-0.378,-0.09,0,0
4110,969.640,37.55,-0.196,-0.348,0.01,0,0
4135,969.680,37.55,-0.539,-0.380,-0.09,0,0
4160,969.670,37.56,-0.452,-0.393,-0.12,0,0
4185,969.680,37.56,-0.539,-0.418,-0.18,0,0
4210,969.660,37.57,-0.367,-0.414,-0.15,0,0
4235,969.650,37.57,-0.280,-0.398,-0.11,0,0
4260,969.670,37.57,-0.452,-0.408,-0.12,0,0
4285,969.640,37.57,-0.196,-0.382,-0.06,0,0
4310,969.710,37.58,-0.798,-0.438,-0.18,0,0
4335,969.650,37.58,-0.280,-0.421,-0.13,0,0
4360,969.660,37.58,-0.367,-0.418,-0.12,0,0
4385,969.630,37.58,-0.108,-0.383,-0.04,0,0
4410,969.690,37.58,-0.626,-0.412,-0.10,0,0
4435,969.690,37.59,-0.626,-0.439,-0.14,0,0
4460,969.690,37.59,-0.626,-0.463,-0.18,0,0
4485,969.690,37.59,-0.626,-0.485,-0.21,0,0
4510,969.660,37.59,-0.367,-0.477,-0.19,0,0
4535,969.680,37.59,-0.539,-0.488,-0.20,0,0
4560,969.680,37.60,-0.539,-0.497,-0.20,0,0
4585,969.640,37.60,-0.196,-0.472,-0.16,0,0
4610,969.690,37.60,-0.626,-0.491,-0.18,0,0
4635,969.680,37.61,-0.539,-0.499,-0.19,0,0
4660,969.680,37.61,-0.539,-0.507,-0.19,0,0
4685,969.640,37.61,-0.196,-0.483,-0.15,0,0
4710,969.680,37.61,-0.539,-0.492,-0.16,0,0
4735,969.660,37.61,-0.367,-0.484,-0.14,0,0
4760,969.730,37.61,-0.970,-0.529,-0.20,0,0
4785,969.690,37.61,-0.626,-0.541,-0.21,0,0
4810,969.690,37.62,-0.626,-0.553,-0.21,0,0
4835,969.650,37.62,-0.280,-0.536,-0.19,0,0
4860,969.680,37.62,-0.539,-0.541,-0.19,0,0
4885,969.670,37.62,-0.452,-0.538,-0.18,0,0
4910,969.650,37.62,-0.280,-0.523,-0.15,0,0
4935,969.680,37.62,-0.539,-0.528,-0.15,0,0
4960,969.670,37.62,-0.452,-0.526,-0.15,0,0
4985,969.710,37.63,-0.798,-0.548,-0.17,0,0
5010,969.690,37.63,-0.626,-0.558,-0.18,0,0
5035,969.690,37.63,-0.626,-0.567,-0.18,0,0
5060,969.700,37.63,-0.711,-0.581,-0.19,0,0
5085,969.670,37.63,-0.452,-0.576,-0.18,0,0
5110,969.680,37.63,-0.539,-0.578,-0.18,0,0
5135,969.710,37.63,-0.798,-0.597,-0.19,0,0
5160,969.680,37.63,-0.539,-0.597,-0.19,0,0
5185,969.730,37.63,-0.970,-0.625,-0.21,0,0
5210,969.700,37.64,-0.711,-0.635,-0.22,0,0
5235,969.670,37.64,-0.452,-0.629,-0.20,0,0
5260,969.700,37.64,-0.711,-0.639,-0.21,0,0
5285,969.700,37.64,-0.711,-0.648,-0.21,0,0
5310,969.690,37.64,-0.626,-0.652,-0.21,0,0
5335,969.690,37.64,-0.626,-0.655,-0.21,0,0
5360,969.670,37.64,-0.452,-0.649,-0.20,0,0
5385,969.680,37.64,-0.539,-0.647,-0.19,0,0
5410,969.690,37.64,-0.626,-0.651,-0.19,0,0
5435,969.710,37.64,-0.798,-0.663,-0.20,0,0
5460,969.720,37.65,-0.883,-0.680,-0.21,0,0
5485,969.680,37.65,-0.539,-0.677,-0.20,0,0
5510,969.720,37.65,-0.883,-0.693,-0.21,0,0
5535,969.680,37.65,-0.539,-0.690,-0.20,0,0
