# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=969.617
# build=Aug  2 2026 23:45:15
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3400,969.490,35.53,1.099,1.057,0.00,2,0
3425,969.490,35.58,1.099,1.071,0.01,2,0
3450,969.470,35.63,1.274,1.125,0.11,2,0
3475,969.500,35.67,1.015,1.102,0.03,2,0
3500,969.530,35.71,0.756,1.028,-0.25,2,0
3525,969.530,35.75,0.756,0.966,-0.50,2,0
3550,969.500,35.78,1.015,0.966,-0.44,2,0
3575,969.510,35.81,0.927,0.950,-0.47,2,0
3600,969.530,35.83,0.756,0.899,-0.65,2,0
3625,969.520,35.86,0.840,0.874,-0.69,2,0
3650,969.570,35.88,0.410,0.763,-1.11,2,0
3675,969.530,35.90,0.756,0.740,-1.09,2,0
3700,969.560,35.92,0.497,0.669,-1.27,2,0
3725,969.560,35.94,0.497,0.609,-1.37,2,0
3750,969.560,35.95,0.497,0.560,-1.43,2,0
3775,969.610,35.97,0.066,0.438,-1.73,2,0
3800,969.580,35.98,0.322,0.382,-1.77,2,0
3825,969.560,35.99,0.497,0.366,-1.68,2,0
3850,969.550,36.00,0.581,0.367,-1.55,2,0
3875,969.580,36.01,0.322,0.328,-1.55,2,0
3900,969.600,36.02,0.151,0.267,-1.61,2,0
3925,969.590,36.03,0.238,0.228,-1.61,2,0
3950,969.560,36.04,0.497,0.234,-1.49,2,0
3975,969.610,36.05,0.066,0.178,-1.54,2,0
4000,969.590,36.05,0.238,0.153,-1.51,1,0
4025,969.590,36.06,0.238,0.132,-1.47,1,0
4050,969.560,36.07,0.497,0.148,-1.36,1,0
4075,969.560,36.07,0.497,0.163,-1.25,1,0
4100,969.580,36.08,0.322,0.155,-1.21,1,0
4125,969.600,36.09,0.151,0.128,-1.20,1,0
4150,969.590,36.09,0.238,0.114,-1.17,1,0
4175,969.610,36.09,0.066,0.083,-1.17,1,0
4200,969.590,36.10,0.238,0.074,-1.14,1,0
4225,969.590,36.10,0.238,0.066,-1.10,1,0
4250,969.550,36.11,0.581,0.096,-1.01,1,0
4275,969.590,36.11,0.238,0.088,-0.98,1,0
4300,969.590,36.11,0.238,0.081,-0.95,1,0
4325,969.540,36.12,0.669,0.156,-0.80,1,0
4350,969.580,36.12,0.322,0.183,-0.72,1,0
4375,969.570,36.12,0.410,0.255,-0.59,1,0
4400,969.600,36.13,0.151,0.203,-0.64,1,0
4425,969.560,36.13,0.497,0.338,-0.42,1,0
4450,969.590,36.13,0.238,0.284,-0.49,1,0
4475,969.590,36.13,0.238,0.257,-0.51,1,0
4500,969.600,36.14,0.151,0.208,-0.57,1,0
4525,969.580,36.14,0.322,0.240,-0.49,1,0
4550,969.600,36.14,0.151,0.204,-0.54,1,0
4575,969.600,36.15,0.151,0.181,-0.56,1,0
4600,969.570,36.15,0.410,0.227,-0.39,1,0
4625,969.600,36.15,0.151,0.202,-0.44,1,0
4650,969.610,36.15,0.066,0.165,-0.52,1,0
4675,969.590,36.15,0.238,0.169,-0.47,1,0
4700,969.580,36.15,0.322,0.189,-0.36,1,0
4725,969.610,36.16,0.066,0.159,-0.43,1,0
4750,969.600,36.16,0.151,0.148,-0.43,1,0
4775,969.620,36.16,-0.021,0.110,-0.52,1,0
4800,969.600,36.16,0.151,0.106,-0.49,1,0
4825,969.620,36.17,-0.021,0.075,-0.55,1,0
4850,969.590,36.17,0.238,0.090,-0.46,1,0
4875,969.600,36.17,0.151,0.090,-0.43,1,0
4900,969.630,36.17,-0.108,0.050,-0.51,1,0
4925,969.590,36.17,0.238,0.067,-0.43,1,0
4950,969.610,36.17,0.066,0.058,-0.42,1,0
4975,969.560,36.18,0.497,0.113,-0.25,1,0
5000,969.580,36.18,0.322,0.137,-0.18,1,0
5025,969.610,36.18,0.066,0.124,-0.20,1,0
5050,969.600,36.18,0.151,0.123,-0.19,1,0
5075,969.610,36.18,0.066,0.111,-0.20,1,0
5100,969.590,36.18,0.238,0.123,-0.17,1,0
5125,969.590,36.18,0.238,0.134,-0.14,1,0
5150,969.560,36.19,0.497,0.175,-0.04,1,0
5175,969.600,36.19,0.151,0.171,-0.05,1,0
5200,969.600,36.19,0.151,0.168,-0.05,1,0
5225,969.580,36.19,0.322,0.184,-0.02,1,0
5250,969.580,36.19,0.322,0.199,0.01,1,0
5275,969.580,36.19,0.322,0.213,0.03,1,0
5300,969.620,36.19,-0.021,0.189,-0.01,1,0
5325,969.570,36.19,0.410,0.211,0.03,1,0
5350,969.590,36.20,0.238,0.214,0.03,1,0
5375,969.610,36.20,0.066,0.201,0.01,1,0
5400,969.610,36.20,0.066,0.188,-0.01,1,0
5425,969.590,36.20,0.238,0.192,-0.00,1,0
5450,969.610,36.20,0.066,0.180,-0.02,1,0
5475,969.610,36.20,0.066,0.170,-0.04,1,0
5500,969.600,36.20,0.151,0.167,-0.04,1,0
5525,969.620,36.20,-0.021,0.150,-0.06,1,0
5550,969.600,36.20,0.151,0.149,-0.06,1,0
5575,969.600,36.20,0.151,0.147,-0.06,1,0
5600,969.590,36.21,0.238,0.153,-0.05,1,0
5625,969.610,36.21,0.066,0.145,-0.06,1,0
5650,969.610,36.21,0.066,0.138,-0.07,1,0
5675,969.590,36.21,0.238,0.144,-0.06,1,0
5700,969.640,36.21,-0.196,0.117,-0.09,1,0
5725,969.620,36.21,-0.021,0.104,-0.10,1,0
5750,969.570,36.21,0.410,0.124,-0.07,1,0
5775,969.560,36.21,0.497,0.149,-0.04,1,0
5800,969.640,36.21,-0.196,0.124,-0.07,1,0
5825,969.600,36.21,0.151,0.124,-0.07,1,0
5850,969.590,36.22,0.238,0.130,-0.06,1,0
5875,969.570,36.22,0.410,0.148,-0.04,1,0
5900,969.610,36.22,0.066,0.141,-0.05,1,0
5925,969.600,36.22,0.151,0.141,-0.05,1,0
5950,969.580,36.22,0.322,0.151,-0.03,1,0
5975,969.610,36.22,0.066,0.145,-0.04,1,0
6000,969.600,36.22,0.151,0.145,-0.04,1,0
6025,969.590,36.22,0.238,0.150,-0.03,1,0
6050,969.600,36.22,0.151,0.149,-0.03,1,0
6075,969.610,36.22,0.066,0.143,-0.04,1,0
6100,969.570,36.23,0.410,0.158,-0.02,1,0
6125,969.600,36.23,0.151,0.157,-0.02,1,0
6150,969.590,36.23,0.238,0.161,-0.02,1,0
6175,969.590,36.23,0.238,0.165,-0.02,1,0
6200,969.610,36.23,0.066,0.159,-0.02,1,0
6225,969.590,36.23,0.238,0.163,-0.02,1,0
6250,969.560,36.23,0.497,0.180,-0.00,1,0
6275,969.580,36.23,0.322,0.188,0.00,1,0
6300,969.620,36.23,-0.021,0.177,-0.00,1,0
6325,969.570,36.23,0.410,0.189,0.01,1,0
6350,969.590,36.24,0.238,0.192,0.01,1,0
6375,969.570,36.24,0.410,0.203,0.02,1,0
6400,969.590,36.24,0.238,0.205,0.02,1,0
6425,969.590,36.24,0.238,0.207,0.02,1,0
6450,969.560,36.24,0.497,0.222,0.03,1,0
6475,969.600,36.24,0.151,0.219,0.03,1,0
6500,969.570,36.24,0.410,0.229,0.03,1,0
6525,969.600,36.24,0.151,0.226,0.03,1,0
6550,969.580,36.25,0.322,0.231,0.03,1,0
6575,969.600,36.25,0.151,0.228,0.03,1,0
6600,969.590,36.25,0.238,0.229,0.03,1,0
6625,969.590,36.25,0.238,0.231,0.03,1,0
6650,969.570,36.25,0.410,0.239,0.04,1,0
6675,969.580,36.25,0.322,0.244,0.04,1,0
6700,969.620,36.25,-0.021,0.233,0.03,1,0
6725,969.580,36.25,0.322,0.238,0.03,1,0
6750,969.600,36.26,0.151,0.235,0.03,1,0
6775,969.590,36.26,0.238,0.236,0.03,1,0
6800,969.600,36.26,0.151,0.233,0.03,1,0
6825,969.580,36.26,0.322,0.238,0.03,1,0
6850,969.630,36.26,-0.108,0.224,0.02,1,0
6875,969.600,36.26,0.151,0.222,0.02,1,0
6900,969.600,36.26,0.151,0.219,0.02,1,0
6925,969.560,36.26,0.497,0.231,0.03,1,0
6950,969.630,36.26,-0.108,0.218,0.02,1,0
6975,969.570,36.27,0.410,0.226,0.02,1,0
7000,969.600,36.27,0.151,0.224,0.02,1,0
7025,969.600,36.27,0.151,0.221,0.02,1,0
7050,969.560,36.27,0.497,0.232,0.03,1,0
7075,969.590,36.27,0.238,0.233,0.03,1,0
7100,969.590,36.27,0.238,0.234,0.03,1,0
7125,969.590,36.27,0.238,0.235,0.03,1,0
7150,969.580,36.27,0.322,0.238,0.03,1,0
7175,969.630,36.28,-0.108,0.227,0.02,1,0
7200,969.590,36.28,0.238,0.227,0.02,1,0
7225,969.610,36.28,0.066,0.222,0.02,1,0
7250,969.580,36.28,0.322,0.226,0.02,1,0
7275,969.590,36.28,0.238,0.227,0.02,1,0
7300,969.610,36.28,0.066,0.222,0.02,1,0
7325,969.590,36.28,0.238,0.223,0.02,1,0
7350,969.630,36.28,-0.108,0.212,0.01,1,0
7375,969.630,36.28,-0.108,0.201,0.01,1,0
7400,969.540,36.28,0.669,0.217,0.01,1,0
7425,969.640,36.28,-0.196,0.204,0.01,1,0
7450,969.580,36.29,0.322,0.208,0.01,1,0
7475,969.580,36.29,0.322,0.212,0.01,1,0
7500,969.570,36.29,0.410,0.218,0.01,1,0
7525,969.600,36.29,0.151,0.217,0.01,1,0
7550,969.600,36.29,0.151,0.215,0.01,1,0
7575,969.620,36.29,-0.021,0.208,0.01,1,0
7600,969.600,36.29,0.151,0.206,0.01,1,0
7625,969.600,36.29,0.151,0.204,0.01,1,0
7650,969.590,36.29,0.238,0.205,0.01,1,0
7675,969.590,36.29,0.238,0.207,0.01,1,0
7700,969.590,36.29,0.238,0.208,0.01,1,0
7725,969.600,36.29,0.151,0.206,0.01,1,0
7750,969.610,36.29,0.066,0.202,0.00,1,0
7775,969.600,36.29,0.151,0.201,0.00,1,0
7800,969.610,36.29,0.066,0.197,0.00,1,0
7825,969.590,36.29,0.238,0.198,0.00,1,0
7850,969.610,36.29,0.066,0.194,0.00,1,0
7875,969.580,36.29,0.322,0.198,0.00,1,0
7900,969.590,36.30,0.238,0.199,0.00,1,0
7925,969.600,36.30,0.151,0.198,0.00,1,0
7950,969.600,36.30,0.151,0.197,0.00,1,0
7975,969.600,36.29,0.151,0.195,0.00,1,0
8000,969.580,36.30,0.322,0.199,0.00,1,0
8025,969.570,36.30,0.410,0.205,0.01,1,0
8050,969.600,36.30,0.151,0.203,0.00,1,0
8075,969.620,36.30,-0.021,0.197,0.00,1,0
8100,969.590,36.30,0.238,0.199,0.00,1,0
8125,969.650,36.30,-0.280,0.185,-0.00,1,0
8150,969.620,36.30,-0.021,0.180,-0.01,1,0
8175,969.600,36.30,0.151,0.179,-0.01,1,0
8200,969.580,36.30,0.322,0.183,-0.00,1,0
8225,969.570,36.30,0.410,0.188,-0.00,1,0
8250,969.610,36.30,0.066,0.185,-0.00,1,0
8275,969.600,36.30,0.151,0.184,-0.00,1,0
8300,969.590,36.30,0.238,0.186,-0.00,1,0
8325,969.590,36.30,0.238,0.187,-0.00,1,0
8350,969.610,36.30,0.066,0.184,-0.00,1,0
8375,969.610,36.30,0.066,0.180,-0.00,1,0
8400,969.580,36.30,0.322,0.184,-0.00,1,0
8425,969.560,36.30,0.497,0.192,-0.00,1,0
8450,969.600,36.31,0.151,0.191,-0.00,1,0
8475,969.580,36.31,0.322,0.194,0.00,1,0
8500,969.600,36.31,0.151,0.193,0.00,1,0
8525,969.600,36.31,0.151,0.192,-0.00,1,0
8550,969.560,36.31,0.497,0.200,0.00,1,0
8575,969.580,36.31,0.322,0.203,0.00,1,0
8600,969.590,36.31,0.238,0.204,0.00,1,0
8625,969.600,36.31,0.151,0.202,0.00,1,0
8650,969.600,36.31,0.151,0.201,0.00,1,0
8675,969.610,36.31,0.066,0.198,0.00,1,0
8700,969.610,36.31,0.066,0.195,0.00,1,0
8725,969.600,36.31,0.151,0.194,0.00,1,0
8750,969.630,36.31,-0.108,0.187,-0.00,1,0
8775,969.590,36.31,0.238,0.188,-0.00,1,0
8800,969.600,36.31,0.151,0.187,-0.00,1,0
8825,969.590,36.31,0.238,0.188,-0.00,1,0
8850,969.560,36.32,0.497,0.195,0.00,1,0
8875,969.590,36.32,0.238,0.196,0.00,1,0
8900,969.600,36.32,0.151,0.195,0.00,1,0
8925,969.600,36.32,0.151,0.194,0.00,1,0
8950,969.590,36.32,0.238,0.195,0.00,1,0
8975,969.600,36.32,0.151,0.194,0.00,1,0
9000,969.590,36.32,0.238,0.195,0.00,1,0
9025,969.570,36.32,0.410,0.200,0.00,1,0
9050,969.590,36.32,0.238,0.201,0.00,1,0
9075,969.550,36.32,0.581,0.210,0.01,1,0
9100,969.600,36.32,0.151,0.208,0.01,1,0
9125,969.590,36.32,0.238,0.209,0.01,1,0
9150,969.580,36.32,0.322,0.212,0.01,1,0
9175,969.550,36.33,0.581,0.220,0.01,1,0
9200,969.610,36.33,0.066,0.217,0.01,1,0
9225,969.590,36.33,0.238,0.218,0.01,1,0
9250,969.590,36.33,0.238,0.218,0.01,1,0
9275,969.610,36.33,0.066,0.215,0.01,1,0
9300,969.600,36.33,0.151,0.214,0.01,1,0
9325,969.610,36.33,0.066,0.211,0.01,1,0
9350,969.610,36.33,0.066,0.208,0.00,1,0
9375,969.610,36.33,0.066,0.205,0.00,1,0
9400,969.610,36.33,0.066,0.202,0.00,1,0
9425,969.590,36.33,0.238,0.203,0.00,1,0
9450,969.630,36.33,-0.108,0.197,0.00,1,0
9475,969.540,36.33,0.669,0.207,0.00,1,0
9500,969.610,36.33,0.066,0.204,0.00,1,0
9525,969.600,36.34,0.151,0.203,0.00,1,0
9550,969.600,36.34,0.151,0.202,0.00,1,0
9575,969.620,36.34,-0.021,0.197,0.00,1,0
9600,969.600,36.34,0.151,0.196,0.00,1,0
9625,969.580,36.34,0.322,0.199,0.00,1,0
9650,969.570,36.34,0.410,0.203,0.00,1,0
9675,969.590,36.34,0.238,0.204,0.00,1,0
9700,969.570,36.34,0.410,0.208,0.00,1,0
9725,969.610,36.34,0.066,0.205,0.00,1,0
9750,969.610,36.34,0.066,0.203,0.00,1,0
9775,969.560,36.34,0.497,0.209,0.00,1,0
9800,969.580,36.34,0.322,0.211,0.01,1,0
9825,969.590,36.34,0.238,0.212,0.01,1,0
9850,969.590,36.35,0.238,0.212,0.01,1,0
9875,969.560,36.35,0.497,0.218,0.01,1,0
9900,969.620,36.35,-0.021,0.214,0.01,1,0
9925,969.590,36.35,0.238,0.214,0.01,1,0
9950,969.600,36.35,0.151,0.213,0.01,1,0
9975,969.590,36.35,0.238,0.214,0.01,1,0
10000,969.590,36.35,0.238,0.214,0.01,1,0
10025,969.650,36.35,-0.280,0.205,0.00,1,0
10050,969.600,36.35,0.151,0.204,0.00,1,0
10075,969.620,36.35,-0.021,0.200,0.00,1,0
10100,969.600,36.35,0.151,0.199,0.00,1,0
10125,969.580,36.35,0.322,0.201,0.00,1,0
10150,969.620,36.35,-0.021,0.197,0.00,1,0
10175,969.600,36.35,0.151,0.196,-0.00,1,0
10200,969.580,36.35,0.322,0.198,0.00,1,0
10225,969.590,36.35,0.238,0.199,0.00,1,0
10250,969.610,36.35,0.066,0.197,0.00,1,0
10275,969.610,36.35,0.066,0.194,-0.00,1,0
10300,969.600,36.36,0.151,0.193,-0.00,1,0
10325,969.600,36.36,0.151,0.193,-0.00,1,0
10350,969.600,36.36,0.151,0.192,-0.00,1,0
10375,969.600,36.36,0.151,0.191,-0.00,1,0
10400,969.590,36.36,0.238,0.192,-0.00,1,0
10425,969.610,36.36,0.066,0.189,-0.00,1,0
10450,969.580,36.36,0.322,0.192,-0.00,1,0
10475,969.590,36.36,0.238,0.193,-0.00,1,0
10500,969.570,36.36,0.410,0.197,0.00,1,0
10525,969.620,36.36,-0.021,0.193,-0.00,1,0
10550,969.610,36.36,0.066,0.190,-0.00,1,0
10575,969.610,36.36,0.066,0.188,-0.00,1,0
10600,969.590,36.36,0.238,0.189,-0.00,1,0
10625,969.580,36.36,0.322,0.191,-0.00,1,0
10650,969.590,36.36,0.238,0.192,-0.00,1,0
10675,969.640,36.36,-0.196,0.185,-0.00,1,0
10700,969.600,36.37,0.151,0.184,-0.00,1,0
10725,969.600,36.37,0.151,0.184,-0.00,1,0
10750,969.640,36.37,-0.196,0.177,-0.01,1,0
10775,969.610,36.37,0.066,0.175,-0.01,1,0
10800,969.590,36.37,0.238,0.176,-0.01,1,0
10825,969.580,36.37,0.322,0.178,-0.01,1,0
10850,969.610,36.37,0.066,0.176,-0.01,1,0
10875,969.570,36.37,0.410,0.180,-0.00,1,0
10900,969.570,36.37,0.410,0.184,-0.00,1,0
10925,969.560,36.37,0.497,0.189,-0.00,1,0
10950,969.590,36.37,0.238,0.190,-0.00,1,0
10975,969.610,36.37,0.066,0.188,-0.00,1,0
11000,969.640,36.37,-0.196,0.181,-0.00,1,0
11025,969.570,36.37,0.410,0.185,-0.00,1,0
11050,969.560,36.37,0.497,0.190,-0.00,1,0
11075,969.590,36.38,0.238,0.191,-0.00,1,0
11100,969.570,36.37,0.410,0.195,0.00,1,0
11125,969.600,36.37,0.151,0.194,-0.00,1,0
11150,969.580,36.37,0.322,0.196,0.00,1,0
11175,969.580,36.38,0.322,0.199,0.00,1,0
11200,969.600,36.38,0.151,0.198,0.00,1,0
11225,969.570,36.38,0.410,0.201,0.00,1,0
11250,969.590,36.38,0.238,0.202,0.00,1,0
11275,969.590,36.38,0.238,0.203,0.00,1,0
11300,969.570,36.38,0.410,0.206,0.00,1,0
11325,969.620,36.38,-0.021,0.203,0.00,1,0
11350,969.620,36.38,-0.021,0.199,0.00,1,0
11375,969.610,36.38,0.066,0.197,0.00,1,0
11400,969.600,36.38,0.151,0.196,0.00,1,0
11425,969.640,36.38,-0.196,0.189,-0.00,1,0
11450,969.560,36.38,0.497,0.194,-0.00,1,0
11475,969.630,36.38,-0.108,0.189,-0.00,1,0
11500,969.600,36.39,0.151,0.189,-0.00,1,0
11525,969.600,36.38,0.151,0.188,-0.00,1,0
11550,969.590,36.39,0.238,0.189,-0.00,1,0
11575,969.570,36.39,0.410,0.192,-0.00,1,0
11600,969.630,36.39,-0.108,0.187,-0.00,1,0
11625,969.620,36.38,-0.021,0.184,-0.00,1,0
11650,969.590,36.39,0.238,0.184,-0.00,1,0
