# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=969.617
# build=Aug  2 2026 23:45:15
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3499,969.480,35.10,1.186,1.101,0.00,2,0
3524,969.500,35.15,1.015,1.072,-0.02,2,0
3549,969.470,35.19,1.274,1.125,0.08,2,0
3574,969.520,35.24,0.840,1.061,-0.12,2,0
3599,969.470,35.28,1.274,1.104,0.06,2,0
3624,969.490,35.31,1.099,1.104,0.05,2,0
3649,969.470,35.35,1.274,1.141,0.22,2,0
3674,969.510,35.38,0.927,1.100,-0.00,2,0
3699,969.480,35.40,1.186,1.118,0.09,2,0
3724,969.570,35.43,0.410,0.971,-0.61,2,0
3749,969.550,35.45,0.581,0.877,-0.96,2,0
3774,969.560,35.47,0.497,0.780,-1.27,2,0
3799,969.580,35.49,0.322,0.662,-1.62,2,0
3824,969.530,35.51,0.756,0.648,-1.51,2,0
3849,969.560,35.53,0.497,0.588,-1.59,2,0
3874,969.560,35.54,0.497,0.539,-1.63,2,0
3899,969.560,35.55,0.497,0.498,-1.63,2,0
3924,969.550,35.57,0.581,0.479,-1.56,2,0
3949,969.560,35.58,0.497,0.450,-1.53,2,0
3974,969.560,35.59,0.497,0.425,-1.49,2,0
3999,969.510,35.60,0.927,0.474,-1.26,2,0
4024,969.570,35.61,0.410,0.437,-1.27,2,0
4049,969.590,35.62,0.238,0.381,-1.33,2,0
4074,969.540,35.62,0.669,0.393,-1.22,2,0
4099,969.560,35.63,0.497,0.382,-1.18,1,0
4124,969.570,35.64,0.410,0.360,-1.16,1,0
4149,969.580,35.64,0.322,0.330,-1.16,1,0
4174,969.560,35.65,0.497,0.326,-1.11,1,0
4199,969.560,35.66,0.497,0.322,-1.06,1,0
4224,969.580,35.66,0.322,0.299,-1.05,1,0
4249,969.580,35.67,0.322,0.279,-1.04,1,0
4274,969.590,35.67,0.238,0.251,-1.05,1,0
4299,969.560,35.68,0.497,0.255,-0.99,1,0
4324,969.580,35.68,0.322,0.240,-0.98,1,0
4349,969.560,35.69,0.497,0.245,-0.93,1,0
4374,969.590,35.69,0.238,0.223,-0.92,1,0
4399,969.520,35.69,0.840,0.264,-0.82,1,0
4424,969.600,35.70,0.151,0.235,-0.84,1,0
4449,969.570,35.70,0.410,0.232,-0.81,1,0
4474,969.570,35.70,0.410,0.231,-0.78,1,0
4499,969.530,35.71,0.756,0.293,-0.66,1,0
4524,969.610,35.71,0.066,0.242,-0.71,1,0
4549,969.560,35.72,0.497,0.281,-0.63,1,0
4574,969.560,35.72,0.497,0.329,-0.55,1,0
4599,969.560,35.72,0.497,0.380,-0.46,1,0
4624,969.540,35.72,0.669,0.503,-0.28,1,0
4649,969.570,35.72,0.410,0.456,-0.33,1,0
4674,969.610,35.73,0.066,0.314,-0.52,1,0
4699,969.580,35.73,0.322,0.307,-0.51,1,0
4724,969.610,35.73,0.066,0.242,-0.59,1,0
4749,969.550,35.73,0.581,0.297,-0.48,1,0
4774,969.590,35.74,0.238,0.277,-0.49,1,0
4799,969.550,35.74,0.581,0.322,-0.39,1,0
4824,969.540,35.74,0.669,0.394,-0.23,1,0
4849,969.610,35.74,0.066,0.323,-0.36,1,0
4874,969.580,35.75,0.322,0.316,-0.36,1,0
4899,969.550,35.75,0.581,0.357,-0.25,1,0
4924,969.540,35.75,0.669,0.424,-0.09,1,0
4949,969.550,35.75,0.581,0.466,0.02,1,0
4974,969.560,35.76,0.497,0.476,0.04,1,0
4999,969.540,35.76,0.669,0.545,0.21,1,0
5024,969.560,35.76,0.497,0.532,0.16,1,0
5049,969.540,35.76,0.669,0.584,0.29,1,0
5074,969.570,35.76,0.410,0.537,0.13,1,0
5099,969.610,35.76,0.066,0.417,-0.26,1,0
5124,969.580,35.77,0.322,0.390,-0.33,1,0
5149,969.550,35.77,0.581,0.425,-0.18,1,0
5174,969.560,35.77,0.497,0.436,-0.12,1,0
5199,969.580,35.77,0.322,0.411,-0.20,1,0
5224,969.570,35.77,0.410,0.407,-0.20,1,0
5249,969.570,35.78,0.410,0.403,-0.20,1,0
5274,969.570,35.78,0.410,0.400,-0.19,1,0
5299,969.580,35.78,0.322,0.383,-0.23,1,0
5324,969.580,35.78,0.322,0.368,-0.26,1,0
5349,969.540,35.78,0.669,0.412,-0.10,1,0
5374,969.580,35.79,0.322,0.396,-0.15,1,0
5399,969.550,35.79,0.581,0.422,-0.06,1,0
5424,969.580,35.79,0.322,0.405,-0.10,1,0
5449,969.570,35.79,0.410,0.404,-0.10,1,0
5474,969.580,35.79,0.322,0.390,-0.13,1,0
5499,969.530,35.79,0.756,0.439,0.00,1,0
5524,969.570,35.79,0.410,0.435,-0.01,1,0
5549,969.590,35.80,0.238,0.408,-0.07,1,0
5574,969.580,35.80,0.322,0.396,-0.09,1,0
5599,969.580,35.80,0.322,0.384,-0.11,1,0
5624,969.600,35.80,0.151,0.353,-0.17,1,0
5649,969.550,35.80,0.581,0.376,-0.12,1,0
5674,969.570,35.80,0.410,0.378,-0.11,1,0
5699,969.570,35.80,0.410,0.379,-0.10,1,0
5724,969.540,35.81,0.669,0.409,-0.04,1,0
5749,969.590,35.81,0.238,0.390,-0.07,1,0
5774,969.600,35.81,0.151,0.362,-0.12,1,0
5799,969.610,35.81,0.066,0.329,-0.17,1,0
5824,969.560,35.81,0.497,0.342,-0.14,1,0
5849,969.590,35.82,0.238,0.328,-0.16,1,0
5874,969.580,35.82,0.322,0.324,-0.16,1,0
5899,969.570,35.82,0.410,0.329,-0.14,1,0
5924,969.530,35.82,0.756,0.366,-0.08,1,0
5949,969.580,35.82,0.322,0.360,-0.09,1,0
5974,969.570,35.82,0.410,0.362,-0.08,1,0
5999,969.570,35.82,0.410,0.364,-0.08,1,0
6024,969.590,35.82,0.238,0.352,-0.09,1,0
6049,969.540,35.83,0.669,0.376,-0.06,1,0
6074,969.550,35.83,0.581,0.392,-0.03,1,0
6099,969.570,35.83,0.410,0.393,-0.03,1,0
6124,969.580,35.83,0.322,0.386,-0.04,1,0
6149,969.590,35.83,0.238,0.374,-0.05,1,0
6174,969.550,35.84,0.581,0.389,-0.03,1,0
6199,969.560,35.84,0.497,0.396,-0.02,1,0
6224,969.570,35.84,0.410,0.397,-0.02,1,0
6249,969.560,35.84,0.497,0.403,-0.01,1,0
6274,969.570,35.84,0.410,0.404,-0.01,1,0
6299,969.560,35.84,0.497,0.410,-0.01,1,0
6324,969.550,35.84,0.581,0.422,0.01,1,0
6349,969.580,35.85,0.322,0.415,0.00,1,0
6374,969.570,35.85,0.410,0.415,0.00,1,0
6399,969.560,35.85,0.497,0.420,0.01,1,0
6424,969.510,35.85,0.927,0.453,0.04,1,0
6449,969.580,35.85,0.322,0.446,0.03,1,0
6474,969.600,35.85,0.151,0.428,0.01,1,0
6499,969.580,35.85,0.322,0.422,0.01,1,0
6524,969.560,35.86,0.497,0.426,0.01,1,0
6549,969.570,35.86,0.410,0.426,0.01,1,0
6574,969.560,35.86,0.497,0.430,0.01,1,0
6599,969.550,35.86,0.581,0.439,0.02,1,0
6624,969.580,35.86,0.322,0.433,0.02,1,0
6649,969.550,35.86,0.581,0.442,0.02,1,0
6674,969.570,35.86,0.410,0.440,0.02,1,0
6699,969.550,35.87,0.581,0.449,0.03,1,0
6724,969.560,35.87,0.497,0.452,0.03,1,0
6749,969.580,35.87,0.322,0.446,0.02,1,0
6774,969.580,35.87,0.322,0.440,0.02,1,0
6799,969.570,35.87,0.410,0.439,0.02,1,0
6824,969.590,35.87,0.238,0.429,0.01,1,0
6849,969.580,35.87,0.322,0.423,0.00,1,0
6874,969.580,35.88,0.322,0.418,0.00,1,0
6899,969.540,35.88,0.669,0.431,0.01,1,0
6924,969.570,35.88,0.410,0.430,0.01,1,0
6949,969.550,35.88,0.581,0.438,0.02,1,0
6974,969.590,35.88,0.238,0.428,0.01,1,0
6999,969.580,35.88,0.322,0.424,0.00,1,0
7024,969.570,35.89,0.410,0.423,0.00,1,0
7049,969.540,35.89,0.669,0.434,0.01,1,0
7074,969.550,35.89,0.581,0.442,0.02,1,0
7099,969.510,35.89,0.927,0.464,0.03,1,0
7124,969.540,35.89,0.669,0.474,0.04,1,0
7149,969.550,35.89,0.581,0.480,0.04,1,0
7174,969.590,35.89,0.238,0.470,0.03,1,0
7199,969.570,35.90,0.410,0.468,0.03,1,0
7224,969.510,35.90,0.927,0.489,0.05,1,0
7249,969.580,35.90,0.322,0.483,0.04,1,0
7274,969.560,35.90,0.497,0.484,0.04,1,0
7299,969.570,35.90,0.410,0.482,0.04,1,0
7324,969.530,35.90,0.756,0.494,0.05,1,0
7349,969.590,35.91,0.238,0.485,0.04,1,0
7374,969.550,35.91,0.581,0.490,0.04,1,0
7399,969.560,35.91,0.497,0.491,0.04,1,0
7424,969.570,35.91,0.410,0.489,0.04,1,0
7449,969.540,35.91,0.669,0.497,0.04,1,0
7474,969.530,35.91,0.756,0.508,0.05,1,0
7499,969.550,35.92,0.581,0.512,0.05,1,0
7524,969.540,35.92,0.669,0.519,0.06,1,0
7549,969.550,35.92,0.581,0.523,0.06,1,0
7574,969.580,35.92,0.322,0.517,0.05,1,0
7599,969.540,35.92,0.669,0.524,0.06,1,0
7624,969.540,35.92,0.669,0.531,0.06,1,0
7649,969.550,35.92,0.581,0.534,0.06,1,0
7674,969.570,35.92,0.410,0.531,0.06,1,0
7699,969.580,35.93,0.322,0.525,0.05,1,0
7724,969.560,35.93,0.497,0.525,0.05,1,0
7749,969.570,35.93,0.410,0.522,0.05,1,0
7774,969.590,35.93,0.238,0.513,0.05,1,0
7799,969.590,35.93,0.238,0.505,0.04,1,0
7824,969.560,35.93,0.497,0.506,0.04,1,0
7849,969.570,35.94,0.410,0.503,0.04,1,0
7874,969.540,35.94,0.669,0.510,0.04,1,0
7899,969.600,35.94,0.151,0.499,0.03,1,0
7924,969.600,35.94,0.151,0.488,0.03,1,0
7949,969.530,35.94,0.756,0.498,0.03,1,0
7974,969.590,35.94,0.238,0.490,0.03,1,0
7999,969.550,35.94,0.581,0.494,0.03,1,0
8024,969.560,35.95,0.497,0.494,0.03,1,0
8049,969.570,35.95,0.410,0.492,0.03,1,0
8074,969.560,35.95,0.497,0.493,0.03,1,0
8099,969.550,35.95,0.581,0.497,0.03,1,0
8124,969.560,35.95,0.497,0.497,0.03,1,0
8149,969.520,35.95,0.840,0.509,0.04,1,0
8174,969.560,35.95,0.497,0.509,0.04,1,0
8199,969.570,35.95,0.410,0.507,0.03,1,0
8224,969.600,35.96,0.151,0.497,0.03,1,0
8249,969.590,35.96,0.238,0.490,0.03,1,0
8274,969.600,35.96,0.151,0.480,0.02,1,0
8299,969.560,35.96,0.497,0.481,0.02,1,0
8324,969.560,35.96,0.497,0.482,0.02,1,0
8349,969.550,35.96,0.581,0.486,0.02,1,0
