# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=970.143
# build=Aug  3 2026 01:12:51
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3585,970.000,33.41,1.239,0.937,0.00,1,0
3610,970.040,33.46,0.893,0.922,-0.01,1,0
3635,970.040,33.50,0.893,0.914,-0.03,1,0
3660,970.010,33.55,1.152,0.968,0.14,1,0
3685,970.030,33.59,0.980,0.974,0.14,1,0
3710,970.060,33.62,0.721,0.924,-0.10,1,0
3735,970.050,33.65,0.806,0.897,-0.21,1,0
3760,970.080,33.68,0.547,0.819,-0.56,1,0
3785,970.100,33.71,0.375,0.715,-1.00,1,0
3810,970.060,33.74,0.721,0.696,-0.96,1,0
3835,970.100,33.76,0.375,0.610,-1.24,1,0
3860,970.110,33.78,0.291,0.520,-1.49,1,0
3885,970.100,33.80,0.375,0.461,-1.58,1,0
3910,970.110,33.81,0.291,0.395,-1.68,1,0
3935,970.100,33.83,0.375,0.358,-1.66,1,0
3960,970.120,33.84,0.203,0.295,-1.74,1,0
3985,970.100,33.85,0.375,0.274,-1.66,1,0
4010,970.090,33.87,0.462,0.273,-1.54,1,0
4035,970.100,33.88,0.375,0.258,-1.47,1,0
4060,970.100,33.89,0.375,0.247,-1.39,1,0
4085,970.150,33.90,-0.055,0.169,-1.51,1,0
4110,970.130,33.90,0.116,0.129,-1.52,1,0
4135,970.100,33.91,0.375,0.134,-1.41,1,0
4160,970.130,33.92,0.116,0.101,-1.40,1,0
4185,970.130,33.92,0.116,0.073,-1.39,1,0
4210,970.130,33.93,0.116,0.049,-1.36,1,0
4235,970.120,33.94,0.203,0.039,-1.31,1,0
4260,970.140,33.94,0.032,0.010,-1.30,1,0
4285,970.120,33.95,0.203,0.005,-1.25,1,0
4310,970.170,33.95,-0.227,-0.050,-1.29,1,0
4335,970.130,33.95,0.116,-0.059,-1.25,1,0
4360,970.130,33.96,0.116,-0.067,-1.21,1,0
4385,970.140,33.96,0.032,-0.083,-1.18,1,0
4410,970.130,33.97,0.116,-0.088,-1.14,1,0
4435,970.170,33.97,-0.227,-0.128,-1.16,1,0
4460,970.130,33.97,0.116,-0.129,-1.11,1,0
4485,970.130,33.97,0.116,-0.129,-1.07,0,0
4510,970.110,33.98,0.291,-0.113,-1.00,0,0
4535,970.150,33.98,-0.055,-0.130,-0.99,0,0
4560,970.120,33.98,0.203,-0.113,-0.93,0,0
4585,970.140,33.99,0.032,-0.111,-0.89,0,0
4610,970.120,33.99,0.203,-0.058,-0.79,0,0
4635,970.140,33.99,0.032,-0.045,-0.74,0,0
4660,970.140,33.99,0.032,-0.029,-0.69,0,0
4685,970.130,33.99,0.116,0.022,-0.60,0,0
4710,970.130,34.00,0.116,0.056,-0.53,0,0
4735,970.150,34.00,-0.055,0.001,-0.59,0,0
4760,970.090,34.00,0.462,0.223,-0.24,0,0
4785,970.120,34.00,0.203,0.210,-0.25,0,0
4810,970.150,34.00,-0.055,0.093,-0.47,0,0
4835,970.120,34.01,0.203,0.130,-0.35,0,0
4860,970.130,34.01,0.116,0.119,-0.36,0,0
4885,970.160,34.01,-0.140,0.036,-0.62,0,0
4910,970.150,34.01,-0.055,0.000,-0.70,0,0
4935,970.180,34.01,-0.314,-0.090,-1.01,0,0
4960,970.110,34.01,0.291,-0.020,-0.59,0,0
4985,970.140,34.01,0.032,-0.020,-0.52,0,0
5010,970.130,34.01,0.116,0.000,-0.37,0,0
5035,970.130,34.01,0.116,0.018,-0.25,0,0
5060,970.120,34.02,0.203,0.052,-0.08,0,0
5085,970.140,34.01,0.032,0.046,-0.10,0,0
5110,970.110,34.02,0.291,0.095,0.10,0,0
5135,970.140,34.02,0.032,0.084,0.05,0,0
5160,970.090,34.02,0.462,0.172,0.35,0,0
5185,970.120,34.02,0.203,0.186,0.37,0,0
5210,970.140,34.02,0.032,0.160,0.26,0,0
5235,970.110,34.02,0.291,0.192,0.34,0,0
5260,970.140,34.02,0.032,0.168,0.24,0,0
5285,970.140,34.02,0.032,0.148,0.16,0,0
5310,970.150,34.03,-0.055,0.116,0.06,0,0
5335,970.110,34.03,0.291,0.146,0.14,0,0
5360,970.180,34.03,-0.314,0.076,-0.05,0,0
5385,970.160,34.03,-0.140,0.042,-0.13,0,0
5410,970.140,34.03,0.032,0.037,-0.14,0,0
5435,970.130,34.03,0.116,0.046,-0.11,0,0
5460,970.140,34.03,0.032,0.041,-0.11,0,0
5485,970.160,34.03,-0.140,0.015,-0.16,0,0
5510,970.150,34.03,-0.055,0.002,-0.18,0,0
5535,970.160,34.03,-0.140,-0.020,-0.22,0,0
5560,970.130,34.03,0.116,-0.008,-0.18,0,0
5585,970.120,34.03,0.203,0.013,-0.13,0,0
5610,970.150,34.03,-0.055,0.002,-0.15,0,0
5635,970.140,34.04,0.032,0.002,-0.14,0,0
5660,970.120,34.04,0.203,0.021,-0.10,0,0
5685,970.120,34.04,0.203,0.039,-0.07,0,0
5710,970.160,34.04,-0.140,0.018,-0.10,0,0
5735,970.160,34.04,-0.140,0.000,-0.12,0,0
5760,970.160,34.04,-0.140,-0.017,-0.15,0,0
5785,970.130,34.04,0.116,-0.007,-0.12,0,0
5810,970.130,34.04,0.116,0.002,-0.11,0,0
5835,970.160,34.04,-0.140,-0.014,-0.13,0,0
5860,970.140,34.04,0.032,-0.012,-0.12,0,0
5885,970.150,34.04,-0.055,-0.019,-0.12,0,0
5910,970.150,34.04,-0.055,-0.025,-0.13,0,0
5935,970.120,34.04,0.203,-0.008,-0.10,0,0
5960,970.100,34.04,0.375,0.022,-0.06,0,0
5985,970.140,34.05,0.032,0.021,-0.06,0,0
6010,970.140,34.04,0.032,0.021,-0.05,0,0
6035,970.130,34.04,0.116,0.027,-0.04,0,0
6060,970.140,34.05,0.032,0.026,-0.04,0,0
6085,970.110,34.04,0.291,0.046,-0.02,0,0
6110,970.140,34.05,0.032,0.044,-0.02,0,0
6135,970.140,34.05,0.032,0.043,-0.02,0,0
6160,970.100,34.05,0.375,0.067,0.01,0,0
