# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=970.159
# build=Aug  3 2026 01:21:43
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3576,969.940,33.09,1.889,1.718,0.00,4,0
3601,969.940,33.14,1.889,1.776,0.05,4,0
3626,970.010,33.19,1.287,1.647,-0.19,4,0
3651,970.010,33.23,1.287,1.560,-0.43,4,0
3676,969.960,33.27,1.718,1.585,-0.29,4,0
3701,970.030,33.30,1.115,1.481,-0.72,4,0
3726,970.050,33.34,0.941,1.354,-1.24,4,0
3751,970.020,33.37,1.200,1.297,-1.37,4,0
3776,969.970,33.39,1.633,1.341,-1.00,4,0
3801,970.000,33.42,1.374,1.328,-0.94,4,0
3826,970.040,33.44,1.028,1.247,-1.20,4,0
3851,970.010,33.46,1.287,1.231,-1.14,4,0
3876,970.030,33.48,1.115,1.185,-1.21,4,0
3901,970.040,33.49,1.028,1.130,-1.30,4,0
3926,970.050,33.51,0.941,1.067,-1.41,4,0
3951,970.060,33.52,0.856,0.999,-1.53,4,0
3976,970.050,33.54,0.941,0.957,-1.54,4,0
4001,970.070,33.55,0.769,0.893,-1.62,4,0
4026,970.020,33.56,1.200,0.911,-1.44,2,0
4051,970.050,33.57,0.941,0.886,-1.41,2,0
4076,970.060,33.58,0.856,0.851,-1.41,2,0
4101,970.070,33.59,0.769,0.809,-1.43,2,0
4126,970.060,33.59,0.856,0.785,-1.40,2,0
4151,970.060,33.60,0.856,0.766,-1.36,2,0
4176,970.060,33.61,0.856,0.749,-1.32,2,0
4201,970.080,33.61,0.682,0.711,-1.33,2,0
4226,970.050,33.62,0.941,0.712,-1.26,2,0
4251,970.060,33.62,0.856,0.703,-1.21,2,0
4276,970.040,33.63,1.028,0.717,-1.12,2,0
4301,970.090,33.63,0.597,0.678,-1.14,2,0
4326,970.080,33.64,0.682,0.653,-1.14,2,0
4351,970.050,33.64,0.941,0.661,-1.07,2,0
4376,970.090,33.65,0.597,0.630,-1.08,2,0
4401,970.080,33.65,0.682,0.611,-1.06,2,0
4426,970.060,33.65,0.856,0.613,-1.01,2,0
4451,970.080,33.65,0.682,0.597,-1.00,2,0
4476,970.100,33.66,0.510,0.566,-1.01,2,0
4501,970.080,33.66,0.682,0.555,-0.99,1,0
4526,970.050,33.66,0.941,0.569,-0.93,1,0
4551,970.010,33.66,1.287,0.647,-0.78,1,0
4576,970.100,33.67,0.510,0.610,-0.80,1,0
4601,970.100,33.67,0.510,0.578,-0.82,1,0
4626,970.080,33.67,0.682,0.575,-0.80,1,0
4651,970.080,33.67,0.682,0.572,-0.77,1,0
4676,970.060,33.68,0.856,0.606,-0.70,1,0
4701,970.070,33.68,0.769,0.629,-0.65,1,0
4726,970.040,33.68,1.028,0.750,-0.47,1,0
4751,970.060,33.68,0.856,0.788,-0.41,1,0
4776,970.100,33.68,0.510,0.672,-0.55,1,0
4801,970.040,33.68,1.028,0.822,-0.33,1,0
4826,970.090,33.69,0.597,0.729,-0.45,1,0
4851,970.100,33.69,0.510,0.656,-0.54,1,0
4876,970.070,33.69,0.769,0.674,-0.49,1,0
4901,970.050,33.69,0.941,0.733,-0.36,1,0
4926,970.070,33.69,0.769,0.736,-0.34,1,0
4951,970.070,33.69,0.769,0.738,-0.32,1,0
4976,970.080,33.69,0.682,0.719,-0.34,1,0
5001,970.080,33.70,0.682,0.705,-0.36,1,0
5026,970.080,33.70,0.682,0.694,-0.36,1,0
5051,970.080,33.70,0.682,0.684,-0.36,1,0
5076,970.080,33.70,0.682,0.676,-0.36,1,0
5101,970.060,33.70,0.856,0.697,-0.28,1,0
5126,970.100,33.70,0.510,0.662,-0.35,1,0
5151,970.060,33.71,0.856,0.684,-0.27,1,0
