# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=969.617
# build=Aug  3 2026 00:15:55
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3530,969.580,36.97,0.322,0.280,0.00,1,0
3555,969.570,37.02,0.410,0.324,0.03,1,0
3580,969.550,37.07,0.581,0.393,0.16,1,0
3605,969.520,37.11,0.840,0.499,0.46,1,0
3630,969.580,37.15,0.322,0.470,0.30,1,0
3655,969.560,37.18,0.497,0.481,0.32,1,0
3680,969.610,37.21,0.066,0.401,-0.10,1,0
3705,969.590,37.24,0.238,0.365,-0.27,1,0
3730,969.580,37.27,0.322,0.351,-0.30,1,0
3755,969.650,37.30,-0.280,0.212,-0.91,1,0
3780,969.640,37.32,-0.196,0.108,-1.27,1,0
3805,969.630,37.34,-0.108,0.038,-1.43,1,0
3830,969.620,37.36,-0.021,-0.002,-1.45,1,0
3855,969.620,37.37,-0.021,-0.035,-1.44,1,0
3880,969.610,37.39,0.066,-0.045,-1.34,1,0
3905,969.630,37.40,-0.108,-0.084,-1.36,1,0
3930,969.610,37.41,0.066,-0.084,-1.25,1,0
3955,969.600,37.43,0.151,-0.069,-1.11,1,0
3980,969.630,37.44,-0.108,-0.099,-1.11,1,0
4005,969.670,37.45,-0.452,-0.180,-1.26,1,0
4030,969.670,37.46,-0.452,-0.250,-1.37,1,0
4055,969.620,37.46,-0.021,-0.243,-1.26,1,0
4080,969.630,37.47,-0.108,-0.250,-1.20,1,0
4105,969.620,37.48,-0.021,-0.243,-1.11,0,0
4130,969.660,37.49,-0.367,-0.284,-1.14,0,0
4155,969.650,37.49,-0.280,-0.308,-1.13,0,0
4180,969.610,37.50,0.066,-0.284,-1.02,0,0
4205,969.640,37.50,-0.196,-0.295,-0.99,0,0
4230,969.620,37.51,-0.021,-0.283,-0.91,0,0
4255,969.670,37.51,-0.452,-0.323,-0.95,0,0
4280,969.660,37.52,-0.367,-0.349,-0.95,0,0
4305,969.650,37.52,-0.280,-0.362,-0.93,0,0
4330,969.660,37.53,-0.367,-0.384,-0.93,0,0
4355,969.670,37.53,-0.452,-0.412,-0.94,0,0
4380,969.620,37.53,-0.021,-0.392,-0.86,0,0
4405,969.680,37.54,-0.539,-0.426,-0.88,0,0
4430,969.640,37.54,-0.196,-0.423,-0.84,0,0
4455,969.680,37.54,-0.539,-0.453,-0.86,0,0
4480,969.680,37.55,-0.539,-0.481,-0.87,0,0
4505,969.630,37.55,-0.108,-0.466,-0.81,0,0
