# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=969.617
# build=Aug  2 2026 23:49:12
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3685,969.520,35.32,0.840,0.581,0.00,1,0
3710,969.540,35.37,0.669,0.611,0.02,1,0
3735,969.560,35.43,0.497,0.581,-0.03,1,0
3760,969.480,35.47,1.186,0.720,0.37,1,0
3785,969.570,35.51,0.410,0.660,0.11,1,0
3810,969.600,35.55,0.151,0.556,-0.36,1,0
3835,969.570,35.58,0.410,0.518,-0.50,1,0
3860,969.570,35.61,0.410,0.486,-0.60,1,0
3885,969.600,35.64,0.151,0.403,-0.92,1,0
3910,969.610,35.66,0.066,0.314,-1.23,1,0
3935,969.560,35.68,0.497,0.328,-1.03,1,0
3960,969.610,35.71,0.066,0.253,-1.24,1,0
3985,969.620,35.73,-0.021,0.173,-1.44,1,0
4010,969.600,35.74,0.151,0.140,-1.43,1,0
4035,969.620,35.76,-0.021,0.080,-1.51,1,0
4060,969.640,35.77,-0.196,-0.002,-1.67,1,0
4085,969.600,35.79,0.151,-0.009,-1.55,1,0
4110,969.650,35.80,-0.280,-0.088,-1.68,1,0
4135,969.620,35.81,-0.021,-0.112,-1.62,1,0
4160,969.640,35.82,-0.196,-0.159,-1.64,1,0
4185,969.640,35.83,-0.196,-0.200,-1.64,1,0
4210,969.630,35.84,-0.108,-0.220,-1.59,1,0
4235,969.660,35.85,-0.367,-0.276,-1.63,1,0
4260,969.620,35.86,-0.021,-0.274,-1.53,1,0
4285,969.620,35.86,-0.021,-0.272,-1.43,1,0
4310,969.680,35.87,-0.539,-0.339,-1.50,1,0
4335,969.620,35.88,-0.021,-0.330,-1.40,1,0
4360,969.630,35.88,-0.108,-0.332,-1.33,0,0
4385,969.670,35.89,-0.452,-0.376,-1.35,0,0
4410,969.620,35.89,-0.021,-0.363,-1.26,0,0
4435,969.620,35.90,-0.021,-0.351,-1.18,0,0
4460,969.670,35.90,-0.452,-0.389,-1.19,0,0
4485,969.630,35.91,-0.108,-0.384,-1.13,0,0
4510,969.670,35.91,-0.452,-0.417,-1.14,0,0
4535,969.650,35.91,-0.280,-0.428,-1.11,0,0
4560,969.660,35.92,-0.367,-0.447,-1.10,0,0
4585,969.670,35.92,-0.452,-0.472,-1.09,0,0
4610,969.650,35.93,-0.280,-0.478,-1.06,0,0
4635,969.660,35.93,-0.367,-0.491,-1.04,0,0
4660,969.670,35.93,-0.452,-0.511,-1.03,0,0
4685,969.650,35.94,-0.280,-0.514,-1.00,0,0
