# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=970.107
# build=Aug  3 2026 01:30:25
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3662,975.440,24.74,-45.879,-46.008,0.00,0,0
3687,975.450,24.79,-45.966,-45.994,0.01,0,0
3712,975.430,24.84,-45.794,-45.941,0.11,0,0
3737,975.440,24.88,-45.879,-45.924,0.15,0,0
3762,975.450,24.93,-45.966,-45.930,0.11,0,0
3787,975.470,24.96,-46.138,-45.971,-0.08,0,0
3812,975.460,25.00,-46.050,-45.990,-0.16,0,0
3837,975.470,25.03,-46.138,-46.024,-0.31,0,0
3862,975.510,25.06,-46.481,-46.126,-0.76,0,0
3887,975.510,25.08,-46.481,-46.216,-1.09,0,0
3912,975.530,25.10,-46.653,-46.329,-1.47,0,0
3937,975.520,25.12,-46.566,-46.407,-1.65,0,0
3962,975.520,25.14,-46.566,-46.472,-1.74,0,0
3987,975.500,25.16,-46.394,-46.491,-1.65,0,0
4012,975.470,25.18,-46.138,-46.457,-1.37,0,0
4037,975.530,25.19,-46.653,-46.521,-1.48,0,0
4062,975.530,25.20,-46.653,-46.575,-1.53,0,0
4087,975.540,25.21,-46.737,-46.635,-1.60,0,0
4112,975.500,25.23,-46.394,-46.628,-1.46,0,0
4137,975.540,25.24,-46.737,-46.676,-1.49,0,0
4162,975.510,25.24,-46.481,-46.677,-1.39,0,0
4187,975.530,25.25,-46.653,-46.702,-1.37,0,0
4212,975.530,25.26,-46.653,-46.724,-1.34,0,0
4237,975.520,25.27,-46.566,-46.730,-1.27,0,0
4262,975.520,25.28,-46.566,-46.734,-1.21,0,0
4287,975.550,25.28,-46.825,-46.773,-1.23,0,0
4312,975.530,25.29,-46.653,-46.784,-1.18,0,0
4337,975.520,25.29,-46.566,-46.782,-1.12,0,0
4362,975.490,25.30,-46.309,-46.748,-0.99,0,0
4387,975.570,25.31,-46.996,-46.799,-1.04,0,0
4412,975.540,25.31,-46.737,-46.815,-1.03,0,0
4437,975.540,25.31,-46.737,-46.829,-1.00,0,0
