# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=970.257
# build=Aug  3 2026 00:52:47
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3565,969.960,34.54,2.560,2.301,0.00,4,0
3590,969.980,34.59,2.389,2.331,0.02,4,0
3615,970.010,34.64,2.130,2.278,-0.07,4,0
3640,970.010,34.68,2.130,2.242,-0.17,4,0
3665,969.980,34.72,2.389,2.270,-0.05,4,0
3690,970.020,34.76,2.043,2.222,-0.26,4,0
3715,970.030,34.79,1.958,2.162,-0.52,4,0
3740,970.030,34.82,1.958,2.109,-0.71,4,0
3765,970.050,34.84,1.784,2.026,-1.02,4,0
3790,970.060,34.87,1.699,1.937,-1.32,4,0
3815,970.070,34.89,1.612,1.843,-1.59,4,0
3840,970.050,34.91,1.784,1.799,-1.61,4,0
3865,970.040,34.93,1.871,1.782,-1.51,4,0
3890,970.050,34.94,1.784,1.752,-1.48,4,0
3915,970.030,34.96,1.958,1.761,-1.31,4,0
3940,970.080,34.98,1.525,1.690,-1.45,4,0
3965,970.070,34.99,1.612,1.647,-1.47,4,0
3990,970.090,35.00,1.440,1.580,-1.56,4,0
4015,970.090,35.01,1.440,1.524,-1.61,4,0
4040,970.080,35.02,1.525,1.490,-1.60,4,0
4065,970.100,35.03,1.353,1.435,-1.64,4,0
4090,970.070,35.04,1.612,1.427,-1.55,4,0
4115,970.090,35.04,1.440,1.396,-1.53,4,0
4140,970.110,35.05,1.268,1.345,-1.56,4,0
4165,970.140,35.06,1.009,1.265,-1.66,4,0
4190,970.080,35.06,1.525,1.264,-1.57,4,0
4215,970.110,35.07,1.268,1.230,-1.55,4,0
4240,970.110,35.07,1.268,1.201,-1.53,4,0
4265,970.050,35.08,1.784,1.240,-1.38,4,0
4290,970.090,35.08,1.440,1.233,-1.32,4,0
4315,970.110,35.09,1.268,1.208,-1.31,4,0
4340,970.080,35.09,1.525,1.215,-1.24,4,0
4365,970.100,35.09,1.353,1.203,-1.20,4,0
4390,970.100,35.10,1.353,1.192,-1.17,3,0
4415,970.120,35.10,1.181,1.165,-1.17,3,0
4440,970.090,35.10,1.440,1.167,-1.12,3,0
4465,970.100,35.11,1.353,1.160,-1.08,3,0
4490,970.140,35.11,1.009,1.121,-1.10,3,0
4515,970.080,35.11,1.525,1.137,-1.04,3,0
4540,970.100,35.12,1.353,1.140,-0.99,3,0
4565,970.120,35.12,1.181,1.124,-0.98,3,0
4590,970.090,35.12,1.440,1.164,-0.89,3,0
4615,970.120,35.12,1.181,1.151,-0.88,3,0
4640,970.110,35.13,1.268,1.168,-0.82,3,0
4665,970.140,35.13,1.009,1.111,-0.87,3,0
4690,970.120,35.13,1.181,1.113,-0.84,3,0
4715,970.130,35.13,1.094,1.092,-0.84,3,0
4740,970.130,35.13,1.094,1.076,-0.83,3,0
4765,970.100,35.14,1.353,1.122,-0.74,3,0
4790,970.120,35.13,1.181,1.122,-0.72,3,0
4815,970.140,35.14,1.009,1.084,-0.75,3,0
4840,970.140,35.14,1.009,1.055,-0.76,3,0
4865,970.090,35.14,1.440,1.119,-0.64,3,0
