# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=969.678
# build=Aug  2 2026 23:22:03
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3083,969.550,34.45,1.104,1.278,-0.00,3,0
3108,969.500,34.49,1.538,1.365,0.07,3,0
3133,969.510,34.53,1.451,1.389,0.11,3,0
3158,969.550,34.55,1.104,1.326,-0.09,3,0
3183,969.580,34.58,0.846,1.221,-0.48,3,0
3208,969.540,34.61,1.192,1.206,-0.49,3,0
3233,969.570,34.63,0.933,1.139,-0.75,3,0
3258,969.540,34.66,1.192,1.135,-0.68,3,0
3283,969.570,34.68,0.933,1.079,-0.87,3,0
3308,969.530,34.69,1.279,1.104,-0.65,3,0
3333,969.580,34.71,0.846,1.037,-0.88,3,0
3358,969.530,34.72,1.279,1.070,-0.65,3,0
3383,969.600,34.74,0.674,0.977,-0.95,3,0
3408,969.620,34.75,0.502,0.864,-1.30,3,0
3433,969.570,34.76,0.933,0.851,-1.22,3,0
3458,969.600,34.77,0.674,0.793,-1.32,3,0
3483,969.620,34.78,0.502,0.713,-1.47,3,0
3508,969.580,34.79,0.846,0.706,-1.38,3,0
3533,969.570,34.80,0.933,0.716,-1.25,3,0
3558,969.570,34.80,0.933,0.725,-1.13,3,0
3583,969.600,34.81,0.674,0.693,-1.14,1,0
3608,969.620,34.82,0.502,0.640,-1.21,1,0
3633,969.620,34.82,0.502,0.594,-1.25,1,0
3658,969.620,34.83,0.502,0.554,-1.27,1,0
3683,969.570,34.83,0.933,0.579,-1.13,1,0
3708,969.570,34.84,0.933,0.603,-1.02,1,0
3733,969.590,34.84,0.761,0.601,-0.97,1,0
3758,969.610,34.85,0.589,0.579,-0.96,1,0
3783,969.600,34.85,0.674,0.569,-0.93,1,0
3808,969.640,34.85,0.328,0.520,-0.99,1,0
3833,969.620,34.86,0.502,0.496,-0.98,1,0
3858,969.560,34.86,1.020,0.534,-0.87,1,0
3883,969.650,34.86,0.243,0.482,-0.92,1,0
3908,969.620,34.87,0.502,0.464,-0.91,1,0
3933,969.620,34.87,0.502,0.447,-0.90,1,0
3958,969.590,34.87,0.761,0.459,-0.85,1,0
3983,969.640,34.87,0.328,0.427,-0.86,1,0
4008,969.630,34.87,0.415,0.406,-0.86,1,0
4033,969.600,34.88,0.674,0.412,-0.82,1,0
4058,969.580,34.88,0.846,0.434,-0.76,1,0
4083,969.610,34.88,0.589,0.431,-0.74,1,0
4108,969.570,34.89,0.933,0.470,-0.66,1,0
4133,969.550,34.89,1.104,0.585,-0.47,1,0
4158,969.610,34.89,0.589,0.578,-0.47,1,0
4183,969.580,34.89,0.846,0.685,-0.31,1,0
4208,969.590,34.89,0.761,0.719,-0.25,1,0
4233,969.620,34.89,0.502,0.614,-0.39,1,0
4258,969.640,34.89,0.328,0.506,-0.52,1,0
4283,969.610,34.89,0.589,0.522,-0.48,1,0
4308,969.620,34.89,0.502,0.508,-0.48,1,0
4333,969.590,34.90,0.761,0.561,-0.37,1,0
4358,969.620,34.90,0.502,0.541,-0.39,1,0
4383,969.600,34.90,0.674,0.562,-0.33,1,0
4408,969.610,34.90,0.589,0.561,-0.32,1,0
4433,969.630,34.90,0.415,0.527,-0.37,1,0
4458,969.600,34.90,0.674,0.545,-0.31,1,0
4483,969.630,34.90,0.415,0.517,-0.36,1,0
4508,969.560,34.90,1.020,0.601,-0.13,1,0
4533,969.610,34.91,0.589,0.596,-0.13,1,0
4558,969.610,34.90,0.589,0.592,-0.14,1,0
4583,969.620,34.91,0.502,0.575,-0.17,1,0
