# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=970.078
# build=Aug  3 2026 01:07:40
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3473,970.040,32.82,0.328,0.501,-0.00,1,0
3498,970.000,32.87,0.674,0.559,0.04,1,0
3523,969.990,32.92,0.758,0.613,0.14,1,0
3548,970.000,32.96,0.674,0.629,0.18,1,0
3573,970.050,33.00,0.240,0.550,-0.14,1,0
3598,970.080,33.03,-0.018,0.428,-0.67,1,0
3623,970.060,33.07,0.156,0.358,-0.92,1,0
3648,970.030,33.10,0.415,0.352,-0.84,1,0
3673,970.040,33.12,0.328,0.330,-0.84,1,0
3698,970.030,33.15,0.415,0.331,-0.74,1,0
3723,970.070,33.17,0.069,0.262,-0.97,1,0
3748,970.100,33.19,-0.190,0.149,-1.34,1,0
3773,970.110,33.21,-0.275,0.033,-1.67,1,0
3798,970.070,33.22,0.069,0.007,-1.61,1,0
3823,970.070,33.24,0.069,-0.013,-1.54,1,0
3848,970.060,33.25,0.156,-0.012,-1.40,1,0
3873,970.100,33.26,-0.190,-0.073,-1.49,1,0
3898,970.110,33.28,-0.275,-0.140,-1.58,1,0
3923,970.110,33.29,-0.275,-0.196,-1.63,1,0
3948,970.090,33.29,-0.103,-0.214,-1.57,1,0
3973,970.070,33.30,0.069,-0.202,-1.43,1,0
3998,970.100,33.31,-0.190,-0.230,-1.41,1,0
4023,970.100,33.32,-0.190,-0.254,-1.38,1,0
4048,970.130,33.33,-0.449,-0.312,-1.43,1,0
4073,970.090,33.33,-0.103,-0.313,-1.35,0,0
4098,970.110,33.34,-0.275,-0.337,-1.33,0,0
4123,970.090,33.34,-0.103,-0.335,-1.26,0,0
4148,970.110,33.35,-0.275,-0.355,-1.23,0,0
4173,970.110,33.35,-0.275,-0.372,-1.20,0,0
4198,970.080,33.36,-0.018,-0.356,-1.11,0,0
4223,970.120,33.36,-0.362,-0.381,-1.11,0,0
4248,970.100,33.37,-0.190,-0.384,-1.06,0,0
4273,970.090,33.37,-0.103,-0.376,-1.00,0,0
4298,970.080,33.37,-0.018,-0.359,-0.93,0,0
4323,970.100,33.37,-0.190,-0.362,-0.89,0,0
4348,970.090,33.38,-0.103,-0.353,-0.84,0,0
