# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=969.735
# build=Aug  3 2026 00:27:36
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3557,969.820,32.92,-0.732,-0.732,0.00,0,0
3582,969.800,32.97,-0.560,-0.674,0.04,0,0
3607,969.770,33.02,-0.301,-0.574,0.22,0,0
3632,969.750,33.06,-0.129,-0.468,0.52,0,0
3657,969.800,33.10,-0.560,-0.477,0.43,0,0
3682,969.830,33.14,-0.819,-0.540,0.10,0,0
3707,969.860,33.17,-1.078,-0.651,-0.43,0,0
3732,969.820,33.20,-0.732,-0.676,-0.51,0,0
3757,969.850,33.23,-0.991,-0.753,-0.81,0,0
3782,969.820,33.26,-0.732,-0.764,-0.77,0,0
3807,969.830,33.28,-0.819,-0.791,-0.80,0,0
3832,969.860,33.30,-1.078,-0.866,-1.04,0,0
3857,969.850,33.32,-0.991,-0.912,-1.12,0,0
3882,969.850,33.34,-0.991,-0.950,-1.16,0,0
3907,969.900,33.35,-1.422,-1.064,-1.47,0,0
3932,969.830,33.37,-0.819,-1.048,-1.28,0,0
3957,969.880,33.38,-1.250,-1.111,-1.39,0,0
3982,969.850,33.39,-0.991,-1.119,-1.30,0,0
4007,969.900,33.40,-1.422,-1.197,-1.44,0,0
4032,969.850,33.42,-0.991,-1.193,-1.32,0,0
4057,969.870,33.42,-1.163,-1.216,-1.30,0,0
4082,969.890,33.44,-1.334,-1.262,-1.33,0,0
4107,969.880,33.44,-1.250,-1.288,-1.31,0,0
4132,969.860,33.45,-1.078,-1.286,-1.23,0,0
4157,969.850,33.46,-0.991,-1.271,-1.12,0,0
4182,969.870,33.47,-1.163,-1.281,-1.08,0,0
4207,969.870,33.48,-1.163,-1.289,-1.04,0,0
4232,969.880,33.48,-1.250,-1.307,-1.02,0,0
4257,969.870,33.49,-1.163,-1.311,-0.98,0,0
4282,969.930,33.49,-1.681,-1.377,-1.06,0,0
4307,969.890,33.50,-1.334,-1.396,-1.05,0,0
4332,969.880,33.50,-1.250,-1.402,-1.01,0,0
4357,969.910,33.51,-1.509,-1.437,-1.03,0,0
4382,969.870,33.51,-1.163,-1.430,-0.97,0,0
4407,969.900,33.52,-1.422,-1.451,-0.97,0,0
4432,969.860,33.52,-1.078,-1.434,-0.90,0,0
4457,969.900,33.53,-1.422,-1.453,-0.89,0,0
4482,969.880,33.53,-1.250,-1.454,-0.86,0,0
4507,969.890,33.53,-1.334,-1.462,-0.84,0,0
4532,969.890,33.54,-1.334,-1.469,-0.82,0,0
4557,969.890,33.54,-1.334,-1.475,-0.80,0,0
4582,969.890,33.54,-1.334,-1.481,-0.78,0,0
4607,969.910,33.55,-1.509,-1.501,-0.78,0,0
4632,969.920,33.55,-1.593,-1.527,-0.79,0,0
4657,969.880,33.55,-1.250,-1.521,-0.75,0,0
4682,969.910,33.56,-1.509,-1.538,-0.75,0,0
4707,969.890,33.56,-1.334,-1.539,-0.73,0,0
