# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=969.617
# build=Aug  2 2026 23:49:12
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3500,969.560,37.50,0.497,0.497,0.00,1,0
3525,969.510,37.55,0.927,0.642,0.11,1,0
3550,969.530,37.59,0.756,0.674,0.16,1,0
3575,969.540,37.64,0.669,0.676,0.16,1,0
3600,969.560,37.67,0.497,0.641,0.01,1,0
3625,969.560,37.71,0.497,0.611,-0.13,1,0
3650,969.550,37.74,0.581,0.602,-0.15,1,0
3675,969.580,37.77,0.322,0.540,-0.43,1,0
3700,969.550,37.80,0.581,0.540,-0.38,1,0
3725,969.630,37.82,-0.108,0.396,-1.01,1,0
3750,969.590,37.84,0.238,0.343,-1.13,1,0
3775,969.570,37.86,0.410,0.334,-1.05,1,0
3800,969.580,37.88,0.322,0.311,-1.04,1,0
3825,969.610,37.90,0.066,0.242,-1.20,1,0
3850,969.620,37.91,-0.021,0.167,-1.36,1,0
3875,969.610,37.92,0.066,0.120,-1.41,1,0
3900,969.650,37.94,-0.280,0.019,-1.63,1,0
3925,969.590,37.95,0.238,0.024,-1.48,1,0
3950,969.600,37.96,0.151,0.015,-1.40,1,0
3975,969.600,37.97,0.151,0.008,-1.32,1,0
4000,969.650,37.98,-0.280,-0.066,-1.43,1,0
4025,969.590,37.98,0.238,-0.049,-1.29,1,0
4050,969.610,37.99,0.066,-0.060,-1.24,1,0
4075,969.590,38.00,0.238,-0.043,-1.12,1,0
4100,969.650,38.00,-0.280,-0.101,-1.19,1,0
4125,969.590,38.01,0.238,-0.081,-1.08,1,0
4150,969.600,38.02,0.151,-0.074,-1.01,1,0
4175,969.620,38.02,-0.021,-0.089,-0.99,1,0
4200,969.640,38.03,-0.196,-0.124,-1.01,0,0
4225,969.640,38.03,-0.196,-0.155,-1.02,0,0
4250,969.630,38.04,-0.108,-0.172,-1.00,0,0
4275,969.640,38.04,-0.196,-0.197,-1.00,0,0
4300,969.610,38.04,0.066,-0.190,-0.94,0,0
4325,969.630,38.05,-0.108,-0.202,-0.93,0,0
4350,969.630,38.05,-0.108,-0.213,-0.90,0,0
4375,969.610,38.06,0.066,-0.205,-0.85,0,0
4400,969.660,38.06,-0.367,-0.240,-0.88,0,0
4425,969.610,38.06,0.066,-0.230,-0.83,0,0
4450,969.640,38.06,-0.196,-0.245,-0.82,0,0
4475,969.640,38.07,-0.196,-0.259,-0.81,0,0
4500,969.660,38.07,-0.367,-0.288,-0.82,0,0
4525,969.660,38.07,-0.367,-0.313,-0.83,0,0
4550,969.600,38.07,0.151,-0.292,-0.77,0,0
4575,969.650,38.07,-0.280,-0.308,-0.77,0,0
4600,969.620,38.08,-0.021,-0.302,-0.73,0,0
4625,969.660,38.08,-0.367,-0.324,-0.74,0,0
4650,969.640,38.08,-0.196,-0.331,-0.72,0,0
4675,969.640,38.08,-0.196,-0.337,-0.71,0,0
4700,969.650,38.09,-0.280,-0.349,-0.70,0,0
4725,969.640,38.09,-0.196,-0.352,-0.68,0,0
4750,969.610,38.09,0.066,-0.316,-0.62,0,0
4775,969.650,38.09,-0.280,-0.324,-0.61,0,0
4800,969.630,38.09,-0.108,-0.286,-0.55,0,0
4825,969.670,38.09,-0.452,-0.337,-0.59,0,0
4850,969.640,38.10,-0.196,-0.310,-0.55,0,0
4875,969.610,38.09,0.066,-0.187,-0.40,0,0
4900,969.610,38.10,0.066,-0.080,-0.27,0,0
4925,969.620,38.10,-0.021,-0.055,-0.24,0,0
4950,969.610,38.10,0.066,0.006,-0.16,0,0
4975,969.670,38.10,-0.452,-0.179,-0.39,0,0
5000,969.610,38.10,0.066,-0.092,-0.25,0,0
5025,969.630,38.10,-0.108,-0.102,-0.26,0,0
5050,969.660,38.11,-0.367,-0.179,-0.40,0,0
5075,969.640,38.11,-0.196,-0.191,-0.40,0,0
5100,969.600,38.11,0.151,-0.122,-0.19,0,0
5125,969.630,38.11,-0.108,-0.123,-0.18,0,0
5150,969.670,38.11,-0.452,-0.190,-0.38,0,0
5175,969.680,38.11,-0.539,-0.262,-0.58,0,0
5200,969.620,38.11,-0.021,-0.231,-0.43,0,0
5225,969.640,38.11,-0.196,-0.234,-0.40,0,0
5250,969.620,38.11,-0.021,-0.206,-0.28,0,0
5275,969.640,38.12,-0.196,-0.210,-0.27,0,0
5300,969.640,38.12,-0.196,-0.213,-0.25,0,0
5325,969.640,38.12,-0.196,-0.215,-0.24,0,0
5350,969.620,38.12,-0.021,-0.190,-0.15,0,0
5375,969.620,38.12,-0.021,-0.166,-0.07,0,0
5400,969.630,38.12,-0.108,-0.159,-0.04,0,0
5425,969.650,38.12,-0.280,-0.178,-0.09,0,0
5450,969.650,38.12,-0.280,-0.195,-0.13,0,0
5475,969.640,38.12,-0.196,-0.198,-0.13,0,0
5500,969.640,38.12,-0.196,-0.200,-0.13,0,0
5525,969.660,38.13,-0.367,-0.226,-0.18,0,0
5550,969.650,38.13,-0.280,-0.237,-0.20,0,0
5575,969.660,38.13,-0.367,-0.258,-0.23,0,0
5600,969.650,38.13,-0.280,-0.266,-0.24,0,0
5625,969.660,38.13,-0.367,-0.284,-0.26,0,0
5650,969.650,38.13,-0.280,-0.289,-0.26,0,0
5675,969.660,38.13,-0.367,-0.304,-0.28,0,0
5700,969.640,38.13,-0.196,-0.297,-0.25,0,0
5725,969.650,38.13,-0.280,-0.301,-0.25,0,0
5750,969.630,38.14,-0.108,-0.285,-0.21,0,0
5775,969.650,38.14,-0.280,-0.289,-0.20,0,0
5800,969.660,38.14,-0.367,-0.302,-0.22,0,0
5825,969.660,38.14,-0.367,-0.314,-0.23,0,0
5850,969.680,38.14,-0.539,-0.341,-0.26,0,0
5875,969.660,38.14,-0.367,-0.350,-0.27,0,0
5900,969.650,38.14,-0.280,-0.349,-0.25,0,0
5925,969.650,38.14,-0.280,-0.348,-0.24,0,0
5950,969.620,38.14,-0.021,-0.324,-0.20,0,0
5975,969.650,38.14,-0.280,-0.325,-0.19,0,0
6000,969.670,38.14,-0.452,-0.340,-0.21,0,0
6025,969.640,38.14,-0.196,-0.332,-0.19,0,0
6050,969.650,38.15,-0.280,-0.332,-0.18,0,0
6075,969.630,38.14,-0.108,-0.318,-0.16,0,0
6100,969.590,38.14,0.238,-0.277,-0.10,0,0
6125,969.660,38.15,-0.367,-0.286,-0.11,0,0
6150,969.660,38.15,-0.367,-0.295,-0.12,0,0
6175,969.650,38.15,-0.280,-0.296,-0.11,0,0
6200,969.630,38.15,-0.108,-0.285,-0.10,0,0
6225,969.650,38.15,-0.280,-0.287,-0.10,0,0
6250,969.650,38.15,-0.280,-0.289,-0.10,0,0
6275,969.620,38.15,-0.021,-0.272,-0.07,0,0
6300,969.600,38.15,0.151,-0.244,-0.04,0,0
6325,969.640,38.15,-0.196,-0.241,-0.04,0,0
6350,969.610,38.15,0.066,-0.217,-0.01,0,0
6375,969.650,38.15,-0.280,-0.222,-0.02,0,0
6400,969.660,38.16,-0.367,-0.234,-0.03,0,0
6425,969.660,38.16,-0.367,-0.246,-0.04,0,0
6450,969.640,38.15,-0.196,-0.243,-0.03,0,0
6475,969.590,38.16,0.238,-0.207,0.00,0,0
6500,969.630,38.16,-0.108,-0.199,0.01,0,0
6525,969.590,38.16,0.238,-0.150,0.06,0,0
6550,969.610,38.16,0.066,-0.113,0.09,0,0
6575,969.640,38.16,-0.196,-0.128,0.07,0,0
6600,969.640,38.16,-0.196,-0.140,0.06,0,0
6625,969.620,38.16,-0.021,-0.114,0.08,0,0
6650,969.600,38.16,0.151,-0.048,0.14,0,0
6675,969.610,38.16,0.066,-0.014,0.17,0,0
6700,969.620,38.16,-0.021,-0.013,0.17,0,0
6725,969.630,38.16,-0.108,-0.033,0.14,0,0
6750,969.650,38.16,-0.280,-0.080,0.10,0,0
6775,969.610,38.16,0.066,-0.052,0.12,0,0
6800,969.640,38.17,-0.196,-0.072,0.10,0,0
6825,969.640,38.16,-0.196,-0.087,0.08,0,0
6850,969.630,38.17,-0.108,-0.088,0.08,0,0
6875,969.660,38.17,-0.367,-0.120,0.04,0,0
6900,969.640,38.17,-0.196,-0.127,0.03,0,0
6925,969.670,38.17,-0.452,-0.160,-0.00,0,0
6950,969.630,38.17,-0.108,-0.155,0.00,0,0
6975,969.640,38.17,-0.196,-0.159,-0.00,0,0
7000,969.630,38.17,-0.108,-0.154,0.00,0,0
7025,969.650,38.17,-0.280,-0.166,-0.01,0,0
7050,969.700,38.17,-0.711,-0.213,-0.07,0,0
7075,969.690,38.17,-0.626,-0.249,-0.11,0,0
7100,969.620,38.17,-0.021,-0.233,-0.08,0,0
7125,969.650,38.18,-0.280,-0.238,-0.09,0,0
7150,969.680,38.18,-0.539,-0.264,-0.12,0,0
7175,969.650,38.18,-0.280,-0.268,-0.12,0,0
7200,969.640,38.18,-0.196,-0.265,-0.11,0,0
7225,969.610,38.18,0.066,-0.243,-0.08,0,0
7250,969.650,38.18,-0.280,-0.248,-0.08,0,0
7275,969.630,38.18,-0.108,-0.240,-0.07,0,0
7300,969.630,38.18,-0.108,-0.232,-0.06,0,0
7325,969.670,38.18,-0.452,-0.249,-0.08,0,0
7350,969.650,38.18,-0.280,-0.253,-0.08,0,0
7375,969.680,38.18,-0.539,-0.274,-0.10,0,0
7400,969.660,38.18,-0.367,-0.283,-0.11,0,0
7425,969.700,38.18,-0.711,-0.315,-0.15,0,0
7450,969.640,38.18,-0.196,-0.310,-0.14,0,0
7475,969.670,38.19,-0.452,-0.323,-0.15,0,0
7500,969.670,38.18,-0.452,-0.335,-0.16,0,0
7525,969.640,38.19,-0.196,-0.329,-0.15,0,0
7550,969.660,38.18,-0.367,-0.335,-0.15,0,0
7575,969.650,38.19,-0.280,-0.335,-0.14,0,0
7600,969.670,38.19,-0.452,-0.346,-0.15,0,0
7625,969.630,38.19,-0.108,-0.335,-0.14,0,0
7650,969.690,38.19,-0.626,-0.356,-0.16,0,0
7675,969.670,38.19,-0.452,-0.365,-0.16,0,0
7700,969.670,38.19,-0.452,-0.374,-0.17,0,0
7725,969.650,38.19,-0.280,-0.373,-0.16,0,0
7750,969.700,38.19,-0.711,-0.397,-0.18,0,0
