# altimeter jump log
# mode=FLIGHT sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=3.000 sigma_meas=0.600 gate=2.00 inflate=500
# zones bounds=-1000000000.00,800.00,1200.00,1500.00,4500.00 hyst_urgent=0.00 hyst_relax=8.00 dwell_urgent=50 dwell_relax=400
# qnh=1013.25 ground_p=996.155
# started=2026-08-12 07:03:36
# version=0.10.0 build=Aug 14 2026 22:10:41
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase,ground_p
664605,989.150,23.80,59.291,60.004,-3.71,1,2,996.155
664724,989.100,23.62,59.716,59.672,-3.09,1,2,996.155
664749,988.770,23.64,62.517,61.239,5.31,1,2,996.155
664774,988.700,23.65,63.112,62.481,10.69,1,2,996.155
664799,988.890,23.67,61.497,62.093,7.51,1,2,996.155
664824,989.070,23.68,59.970,61.353,2.87,1,2,996.155
664849,988.950,23.70,60.990,61.277,2.11,1,2,996.155
664874,988.680,23.71,63.281,61.931,5.22,1,2,996.155
664899,988.720,23.72,62.943,62.326,6.58,1,2,996.155
664924,989.010,23.73,60.480,61.928,3.77,1,2,996.155
664949,989.090,23.74,59.801,61.438,0.94,1,2,996.155
664974,988.900,23.74,61.413,61.449,0.89,1,2,996.155
664999,988.680,23.75,63.281,61.905,2.81,1,2,996.155
665024,988.760,23.76,62.602,62.119,3.42,1,2,996.155
665049,989.030,23.76,60.308,61.787,1.74,1,2,996.155
665074,989.120,23.77,59.545,61.349,-0.10,1,2,996.155
665099,988.700,23.77,63.112,61.705,1.20,1,2,996.155
665124,988.630,23.78,63.706,62.120,2.54,1,2,996.155
665149,988.790,23.78,62.348,62.214,2.65,1,2,996.155
665174,989.030,23.79,60.308,61.923,1.51,1,2,996.155
665199,988.950,23.79,60.990,61.792,1.00,1,2,996.155
665224,988.580,23.79,64.129,62.207,2.13,1,2,996.155
665249,988.670,23.80,63.365,62.439,2.64,1,2,996.155
665274,988.840,23.80,61.923,62.414,2.39,1,2,996.155
665299,988.990,23.80,60.649,62.196,1.67,1,2,996.155
665324,988.850,23.80,61.838,62.178,1.52,1,2,996.155
665349,988.590,23.81,64.045,62.477,2.15,1,2,996.155
665374,988.630,23.81,63.706,62.693,2.54,1,2,996.155
665399,988.750,23.81,62.686,62.748,2.51,1,2,996.155
665424,988.810,23.81,62.176,62.728,2.33,1,2,996.155
665449,988.590,23.82,64.045,62.946,2.67,1,2,996.155
665474,988.440,23.82,65.321,63.395,3.48,1,2,996.155
665499,988.510,23.82,64.724,63.830,4.18,1,2,996.155
665524,988.850,23.82,61.838,63.440,3.19,1,2,996.155
665549,988.750,23.82,62.686,63.348,2.85,1,2,996.155
665574,988.440,23.82,65.321,63.793,3.59,1,2,996.155
665599,988.350,23.82,66.084,64.644,5.07,1,2,996.155
665624,988.540,23.83,64.470,64.643,4.81,1,2,996.155
665649,988.750,23.83,62.686,64.095,3.48,1,2,996.155
665674,988.600,23.83,63.960,64.125,3.36,1,2,996.155
