# altimeter jump log
# mode=FLIGHT sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=3.000 sigma_meas=0.600 gate=2.00 inflate=500
# zones bounds=-1000000000.00,800.00,1200.00,1500.00,4500.00 hyst_urgent=0.00 hyst_relax=8.00 dwell_urgent=50 dwell_relax=400
# qnh=1013.25 ground_p=995.434
# started=2026-08-15 14:53:55
# version=0.10.0 build=Aug 14 2026 22:10:41
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase,ground_p
501267,986.980,29.61,71.641,71.479,5.11,1,2,995.434
501395,986.670,29.42,74.278,72.519,5.45,1,2,995.434
501420,986.620,29.44,74.704,73.263,5.56,1,2,995.434
501445,986.790,29.45,73.258,73.373,5.67,1,2,995.434
501470,986.990,29.47,71.557,72.979,5.74,1,2,995.434
501495,986.740,29.49,73.684,73.256,5.79,1,2,995.434
501520,986.670,29.50,74.278,73.595,5.83,1,2,995.434
501545,986.680,29.51,74.194,73.850,5.87,1,2,995.434
501570,986.880,29.52,72.492,73.715,5.89,1,2,995.434
501595,986.870,29.53,72.577,73.634,5.89,1,2,995.434
501620,986.540,29.54,75.383,74.041,5.88,1,2,995.434
501645,986.520,29.55,75.554,74.404,5.89,1,2,995.434
501670,986.740,29.56,73.684,74.433,5.88,1,2,995.434
501696,986.810,29.56,73.087,74.381,5.87,1,2,995.434
501720,986.780,29.57,73.343,74.359,5.82,1,2,995.434
501745,986.440,29.58,76.234,74.723,5.78,1,2,995.434
501770,986.430,29.58,76.318,75.057,5.76,1,2,995.434
501795,986.610,29.59,74.788,75.160,5.76,1,2,995.434
501820,986.780,29.59,73.343,75.074,5.77,1,2,995.434
501845,986.490,29.59,75.808,75.286,5.74,1,2,995.434
501870,986.250,29.60,77.851,75.717,5.72,1,2,995.434
501895,986.350,29.60,77.000,76.031,5.75,1,2,995.434
501920,986.650,29.60,74.447,75.967,5.86,1,2,995.434
501945,986.710,29.61,73.937,75.846,5.90,1,2,995.434
501970,986.320,29.61,77.256,76.146,5.90,1,2,995.434
501995,986.220,29.61,78.107,76.515,5.93,1,2,995.434
502020,986.470,29.62,75.980,76.592,6.02,1,2,995.434
502045,986.690,29.62,74.107,76.446,6.08,1,2,995.434
502070,986.630,29.62,74.619,76.366,6.08,1,2,995.434
502095,986.260,29.62,77.766,76.637,6.04,1,2,995.434
502120,986.240,29.62,77.935,76.900,6.04,1,2,995.434
502145,986.590,29.62,74.957,76.823,6.10,1,2,995.434
502170,986.500,29.63,75.724,76.828,6.12,1,2,995.434
502195,986.270,29.63,77.682,77.030,6.08,1,2,995.434
502220,986.180,29.63,78.445,77.294,6.04,1,2,995.434
502245,986.310,29.63,77.341,77.423,6.02,1,2,995.434
502270,986.570,29.63,75.129,77.321,6.00,1,2,995.434
502295,986.410,29.63,76.490,77.342,5.96,1,2,995.434
502320,986.040,29.63,79.637,77.693,5.92,1,2,995.434
502345,986.030,29.64,79.721,78.021,5.91,1,2,995.434
502370,986.170,29.64,78.532,78.199,5.92,1,2,995.434
502395,986.330,29.64,77.169,78.224,5.92,1,2,995.434
502420,986.190,29.64,78.361,78.360,5.90,1,2,995.434
502445,985.790,29.64,81.767,78.809,5.90,1,2,995.434
502470,985.890,29.64,80.913,79.211,5.92,1,2,995.434
502495,986.230,29.64,78.022,79.206,5.93,1,2,995.434
502520,986.190,29.64,78.361,79.240,5.91,1,2,995.434
502545,985.940,29.64,80.488,79.516,5.89,1,2,995.434
502570,985.710,29.64,82.446,80.222,5.92,1,2,995.434
502595,985.860,29.65,81.169,80.662,5.98,1,2,995.434
502620,986.210,29.65,78.192,80.128,5.99,1,2,995.434
502645,986.060,29.65,79.468,80.098,5.97,1,2,995.434
502670,985.740,29.65,82.192,80.644,5.97,1,2,995.434
502695,985.650,29.65,82.956,81.538,6.03,1,2,995.434
502720,985.790,29.65,81.767,81.749,6.10,1,2,995.434
502745,986.020,29.65,79.809,81.249,6.10,1,2,995.434
502770,985.870,29.65,81.085,81.326,6.10,1,2,995.434
502795,985.460,29.65,84.575,82.693,6.21,1,2,995.434
502820,985.490,29.65,84.319,83.734,6.38,1,2,995.434
