# altimeter jump log
# mode=FLIGHT sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=3.000 sigma_meas=0.600 gate=2.00 inflate=500
# zones bounds=-1000000000.00,800.00,1200.00,1500.00,4500.00 hyst_urgent=0.00 hyst_relax=8.00 dwell_urgent=50 dwell_relax=400
# qnh=1013.25 ground_p=995.980
# started=2026-08-15 13:09:21
# version=0.10.0 build=Aug 14 2026 22:10:41
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase,ground_p
1269523,990.030,29.12,50.344,51.275,3.86,1,2,995.980
1269655,989.740,28.92,52.804,52.276,3.22,1,2,995.980
1269680,989.560,28.94,54.331,53.198,3.07,1,2,995.980
1269705,989.580,28.96,54.162,53.582,2.96,1,2,995.980
1269730,989.700,28.98,53.145,53.540,2.82,1,2,995.980
1269755,989.670,28.99,53.399,53.582,2.69,1,2,995.980
1269780,989.460,29.01,55.180,54.020,2.67,1,2,995.980
1269805,989.420,29.02,55.520,54.444,2.68,1,2,995.980
1269830,989.630,29.03,53.740,54.420,2.66,1,2,995.980
1269855,989.700,29.04,53.145,54.274,2.56,1,2,995.980
1269880,989.650,29.05,53.568,54.227,2.45,1,2,995.980
1269905,989.450,29.06,55.264,54.499,2.40,1,2,995.980
1269930,989.470,29.07,55.095,54.702,2.37,1,2,995.980
1269955,989.660,29.07,53.483,54.579,2.31,1,2,995.980
1269980,989.640,29.08,53.652,54.499,2.24,1,2,995.980
1270005,989.570,29.09,54.247,54.523,2.17,1,2,995.980
1270030,989.500,29.09,54.841,54.645,2.16,1,2,995.980
1270055,989.570,29.10,54.247,54.648,2.15,1,2,995.980
1270080,989.750,29.10,52.720,54.221,2.08,1,2,995.980
1270105,989.520,29.10,54.672,54.376,2.00,1,2,995.980
1270130,989.320,29.11,56.369,54.896,1.99,1,2,995.980
1270155,989.550,29.11,54.416,54.855,2.00,1,2,995.980
1270180,989.640,29.12,53.652,54.672,2.00,1,2,995.980
1270205,989.570,29.12,54.247,54.626,1.96,1,2,995.980
1270230,989.430,29.12,55.436,54.822,1.92,1,2,995.980
1270255,989.340,29.13,56.199,55.117,1.93,1,2,995.980
1270280,989.420,29.13,55.520,55.245,1.97,1,2,995.980
1270305,989.560,29.13,54.331,55.164,1.98,1,2,995.980
1270330,989.430,29.13,55.436,55.262,1.98,1,2,995.980
1270355,989.370,29.13,55.943,55.422,1.99,1,2,995.980
1270380,989.410,29.13,55.605,55.510,2.01,1,2,995.980
1270405,989.520,29.14,54.672,55.461,2.04,1,2,995.980
1270430,989.610,29.14,53.909,55.315,2.04,1,2,995.980
1270455,989.330,29.14,56.284,55.488,2.04,1,2,995.980
1270480,989.190,29.14,57.473,55.792,2.06,1,2,995.980
1270505,989.280,29.14,56.709,55.968,2.10,1,2,995.980
1270530,989.400,29.15,55.690,56.006,2.15,1,2,995.980
1270555,989.410,29.14,55.605,56.030,2.19,1,2,995.980
1270580,989.230,29.15,57.132,56.221,2.24,1,2,995.980
1270605,989.260,29.15,56.879,56.367,2.29,1,2,995.980
1270630,989.430,29.15,55.436,56.340,2.36,1,2,995.980
1270655,989.400,29.15,55.690,56.340,2.42,1,2,995.980
1270680,989.160,29.15,57.727,56.556,2.48,1,2,995.980
1270705,989.050,29.15,58.660,56.848,2.55,1,2,995.980
1270730,989.230,29.15,57.132,56.959,2.63,1,2,995.980
1270755,989.260,29.15,56.879,57.033,2.73,1,2,995.980
1270780,989.270,29.16,56.794,57.094,2.81,1,2,995.980
1270805,989.200,29.16,57.386,57.202,2.87,1,2,995.980
1270830,989.180,29.16,57.558,57.318,2.95,1,2,995.980
1270855,989.300,29.16,56.538,57.329,3.05,1,2,995.980
1270880,989.230,29.16,57.132,57.390,3.15,1,2,995.980
1270905,989.100,29.16,58.237,57.549,3.23,1,2,995.980
1270930,988.990,29.16,59.169,57.780,3.27,1,2,995.980
1270955,988.990,29.16,59.169,58.016,3.35,1,2,995.980
1270980,989.220,29.16,57.217,58.022,3.43,1,2,995.980
1271005,989.100,29.16,58.237,58.133,3.47,1,2,995.980
1271030,988.960,29.17,59.423,58.368,3.38,1,2,995.980
1271055,988.940,29.17,59.595,58.672,3.44,1,2,995.980
1271080,989.030,29.17,58.829,58.794,3.48,1,2,995.980
1271105,989.160,29.17,57.727,58.668,3.51,1,2,995.980
1271130,989.020,29.17,58.916,58.796,3.54,1,2,995.980
1271155,988.600,29.17,62.480,60.270,3.66,1,2,995.980
1271180,988.630,29.17,62.227,61.612,3.79,1,2,995.980
1271205,988.840,29.17,60.443,60.897,3.92,1,2,995.980
1271230,988.880,29.17,60.102,60.508,4.03,1,2,995.980
1271255,988.630,29.17,62.227,61.687,4.20,1,2,995.980
1271280,988.340,29.17,64.689,64.189,4.52,1,2,995.980
1271305,988.560,29.17,62.821,63.216,4.78,1,2,995.980
1271330,988.780,29.17,60.953,61.807,4.95,1,2,995.980
1271355,988.560,29.17,62.821,62.412,5.15,1,2,995.980
1271380,988.270,29.17,65.284,64.900,5.48,1,2,995.980
1271405,988.340,29.18,64.689,64.851,5.79,1,2,995.980
1271430,988.580,29.17,62.649,63.537,6.00,1,2,995.980
1271455,988.750,29.18,61.207,62.023,6.11,1,2,995.980
1271480,988.450,29.18,63.754,62.638,6.24,1,2,995.980
1271505,988.170,29.18,66.135,65.294,6.51,1,2,995.980
1271530,988.490,29.18,63.416,64.251,6.70,1,2,995.980
1271555,988.650,29.18,62.058,63.160,6.80,1,2,995.980
1271580,988.530,29.18,63.075,63.013,6.88,1,2,995.980
1271605,988.310,29.18,64.943,63.758,6.96,1,2,995.980
1271630,988.220,29.18,65.709,64.929,7.10,1,2,995.980
1271655,988.530,29.18,63.075,64.191,7.21,1,2,995.980
1271680,988.670,29.18,61.886,63.297,7.24,1,2,995.980
1271705,988.310,29.18,64.943,63.824,7.27,1,2,995.980
1271730,988.220,29.18,65.709,64.552,7.33,1,2,995.980
1271755,988.470,29.18,63.585,64.292,7.36,1,2,995.980
1271780,988.670,29.18,61.886,63.574,7.35,1,2,995.980
1271805,988.540,29.19,62.990,63.371,7.31,1,2,995.980
1271830,988.170,29.19,66.135,64.071,7.29,1,2,995.980
1271855,988.280,29.19,65.199,64.378,7.29,1,2,995.980
1271880,988.560,29.18,62.821,64.043,7.25,1,2,995.980
1271905,988.690,29.19,61.717,63.517,7.16,1,2,995.980
1271930,988.350,29.19,64.605,63.724,7.07,1,2,995.980
1271955,988.180,29.19,66.047,64.195,6.99,1,2,995.980
1271980,988.470,29.19,63.585,64.095,6.88,1,2,995.980
1272005,988.610,29.19,62.396,63.782,6.76,1,2,995.980
1272030,988.440,29.19,63.841,63.784,6.64,1,2,995.980
1272055,988.200,29.19,65.878,64.146,6.52,1,2,995.980
1272080,988.320,29.19,64.858,64.283,6.40,1,2,995.980
1272105,988.610,29.19,62.396,63.995,6.25,1,2,995.980
1272130,988.510,29.19,63.244,63.881,6.09,1,2,995.980
1272155,988.110,29.19,66.642,64.300,5.94,1,2,995.980
1272180,988.050,29.19,67.152,65.082,5.82,1,2,995.980
1272205,988.280,29.19,65.199,65.170,5.71,1,2,995.980
1272230,988.480,29.19,63.500,64.730,5.56,1,2,995.980
1272255,988.370,29.19,64.436,64.688,5.40,1,2,995.980
1272280,988.050,29.19,67.152,65.531,5.29,1,2,995.980
1272305,988.060,29.19,67.067,66.344,5.21,1,2,995.980
1272330,988.380,29.20,64.348,65.693,5.08,1,2,995.980
